stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,1449.57,28121.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383.68,0,0,0,0,0,0,0,0
  5-6,1716.3,21545.67,24.52,0,0,0,0,0,0,134.85,0,0,0,0,0,0,0,0,0,0,349.39,18.39,0,0,55.17,0,551.67,0,0,0,0,0,0,0,0
  7-9,373.28,370.65,517.86,0,7.89,2381.61,0,0,0,935.82,0,0,0,0,0,0,0,0,0,0,12121,128.81,0,0,549.4,0,34.17,28.92,0,0,0,0,0,0,0
 10-12,9.44,147.91,204.55,0,18.88,2029.8,0,0,0,396.52,0,0,0,0,0,0,0,0,0,3.15,6935.92,47.2,0,0,298.96,0,15.73,9.44,3.15,22.03,0,15.73,0,0,0
 14-21,0,0,5,523,11,249,0,4,4,7,1,0,11,0,0,3,136,0,0,296,539,4,3,5,3,0,44,0,52,5,149,353,55,7,0
 24-34,0.82,0.82,4.1,87.83,1.64,142.01,0,1.64,3.28,0,3.28,0,0,0,3.28,1.64,98.5,0.82,0,121.49,123.13,0,10.67,13.95,0,3.28,4.1,0,0.82,0.82,77.98,7.39,19.7,31.19,0
 36-46,0,0,0,13.7,1.61,221.56,0.81,0.81,1.61,0,3.22,0.81,0,0,1.61,0.81,39.48,0,2.42,18.53,62.84,0,3.22,9.67,0,0,0,0,0,0,12.09,0,8.06,15.31,0
 48-58,0,0,0,1.72,1.15,227.8,0,4.02,0.57,0,1.72,0,0,0,3.44,1.15,32.13,0,1.15,13.77,39.59,0,1.72,9.75,0,0,0,0,0,0,1.72,0,4.02,12.05,0.57
 60-70,0,0,0,0.98,0,171.77,0.98,7.85,0.98,0,0,0,0,0,5.89,0.98,23.56,0,0.98,7.85,22.58,0,0.98,13.74,0,0,0,0,0,0,0,0,2.94,4.91,0.98
 72-82,0,0,0,0,0,53.99,0,5.89,2.94,0,0,0,0,0,5.89,0.98,15.71,0,0,3.93,13.74,0,4.91,24.54,0,0,0,0,0,0,0,0,1.96,17.67,0
 84-94,0,0,0,1.06,1.06,35.05,0,4.25,1.06,0,0,0,0,1.06,11.68,0,8.5,0,0,0,8.5,0,15.93,36.11,0,0,0,0,0,2.12,0,0,1.06,10.62,0
 96-106,0,0,0,2.19,1.09,20.76,0,5.46,3.28,0,0,0,0,1.09,9.84,0,15.3,0,0,1.09,9.84,0,27.32,51.36,0,0,1.09,0,0,1.09,0,0,0,15.3,0
108-118,0,0,0,0.77,0,26.04,0,3.06,1.53,0,0,0,0,0,9.19,0.77,12.26,0,1.53,0.77,12.26,0,9.96,30.64,0,0,0.77,0,0,1.53,0,0,0,9.19,1.53
120,0,0,0,0,0,13.72,0,0,1.96,0,0,1.96,1.96,1.96,9.8,0,5.88,0,1.96,3.92,3.92,0,9.8,29.4,0,0,0,0,0,1.96,0,0,0,13.72,0
