stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,3,207,1,0,0,2,0,3,0,1,27,34,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0.82,1.64,0.82,0,0.82,0,0.82,0,0,4.1,0,1.64,156.78,0.82,0.82,0,0,0.82,0,0,0,0,40.22,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,211.89,0,0,0,0,0,0,0,0,0,40.28,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,20.08,0.57,0,4.02,5.16,0,1.15,0,0,0,0,0.57,1.72,8.61,0,2.3,292.64,0,0,0.57,0,0.57,0,0,0.57,0,60.25,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,19.63,0,0,1.96,2.94,0,0,0,0,1.96,0,0,0,7.85,0.98,0,287.59,0,0,0,0,0,0,0,0,0,50.06,0,0,0,0,0
 72-82,0,0,0,2.94,1.96,0,37.3,0.98,0,3.93,16.69,0,0,0.98,0,0,0,0,0.98,18.65,0,0,242.47,0,0.98,0.98,0,0.98,0,0,0,0,23.56,0,0.98,1.96,0,5.89
 84-94,0,0,0,3.19,0,0,14.87,0,0,2.12,6.37,0,0,0,0,0,0,0,0,6.37,0,0,112.58,0,0,2.12,0,2.12,0,0,0,0,22.3,0,0,0,0,2.12
 96-106,0,0,0,2.19,1.09,0,14.21,0,2.19,2.19,8.74,0,0,0,1.09,0,0,1.09,0,8.74,0,2.19,85.24,0,0,2.19,0,3.28,0,0,0,0,10.93,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,6.89,0,0,1.53,6.13,0.77,0,0,0,0,0,0,0.77,3.83,0,0,108.77,0,0,0,0,0,0,0.77,0,0,1.53,0.77,0,0.77,1.53,0
120,0,0,0,3.92,1.96,0,5.88,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0,1.96,88.19,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
