stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,6.13,0,147.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,21.03,26.29,0,0,42.06,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,1274.93,13.14,0,628.26,0,31.54,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,40.91,0,0,31.47,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,1337.46,22.03,0,900.03,0,9.44,0,3.15,25.18,0,0,0,0,0,0,0,0
 14-21,1,1,2,46,34,1,0,0,0,0,0,2,1,8,0,0,0,0,3,0,0,2,8,24,0,256,0,5,0,55,0,0,15,19,0,0,36,0,0
 24-34,0,0,1.64,4.1,2.46,3.28,0.82,4.93,0,0,0.82,9.03,0.82,0,0,0.82,0,0,4.1,0.82,0,4.93,13.95,3.28,0,0,0,0.82,0,0,1.64,0.82,17.24,14.78,0,0,164.99,0,1.64
 36-46,0,0,0,0.81,0,2.42,0,4.03,0.81,0,0,4.03,0.81,0,0,0,0.81,0,11.28,0,0.81,4.03,21.75,0,0,0,0,0,0,0,0,0,0,7.25,0,0,111.18,0,4.03
 48-58,0,0,0,1.72,0,22.38,1.15,6.89,1.15,0,0,8.03,1.15,0,0,0,0,0,25.82,0,0,5.74,21.8,0.57,0,0,0,0,0,0,0,0,0,4.59,0,0,89.51,0,0
 60-70,0,0,0,1.96,0.98,93.24,0,8.83,4.91,0.98,0,5.89,3.93,0,0,0,0,0.98,50.06,0,0.98,1.96,43.19,0,0,0,0,0.98,0,0,0,0,0,4.91,0,0.98,67.73,1.96,0
 72-82,0,0,0,3.93,0,155.1,1.96,11.78,5.89,0,0,4.91,6.87,1.96,2.94,0,0,0,83.44,0,5.89,2.94,50.06,0,0,0,0,0,0,0,0.98,0,0,6.87,0,4.91,137.43,2.94,0.98
 84-94,0,0,0,3.19,0,114.7,0,8.5,4.25,0,0,3.19,9.56,2.12,2.12,0,0,1.06,62.66,1.06,4.25,1.06,20.18,2.12,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06,112.58,2.12,0
 96-106,0,0,0,5.46,2.19,127.86,1.09,5.46,7.65,1.09,0,8.74,15.3,2.19,2.19,0,0,1.09,54.64,0,5.46,1.09,20.76,1.09,2.19,0,1.09,2.19,0,0,1.09,0,0,2.19,0,1.09,115.84,4.37,0
108-118,0,0,0,1.53,1.53,80.43,0,5.36,3.83,0,0,2.3,13.02,0.77,4.6,0,0,0,50.55,0.77,7.66,0,27.57,0.77,0.77,0,0,0,0,0,1.53,0,0,2.3,0.77,0,81.96,3.06,0.77
120,0,0,0,3.92,0,60.75,0,3.92,7.84,0,0,0,5.88,0,0,0,0,0,31.36,0,0,1.96,17.64,0,1.96,0,0,0,0,0,0,0,0,3.92,0,1.96,99.95,1.96,0
