stage,blastomeres,endoderm,eye,hatching.gland,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,263.56,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,134.85,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,5.26,10.51,2.63,49.95,2.63,0,15.77,0,0,0,0
 10-12,0,3.15,12.59,0,50.35,0,0,6.29,0,3.15,3.15,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0,0.57
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0
