stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,3.15,0,0,6.29,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,60,1,0,1,0,1,0,0,1,2,1,2,19,0,0,0,0,2,2,0,11,0,1,2,0,0,72,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,4.1,160.07,0.82,0,0,0,16.42,0,1.64,3.28,0,0.82,5.75,82.91,0,2.46,0,0,0,13.95,0.82,42.68,1.64,5.75,3.28,0,0,389.91,0,1.64,0.82,9.85,0,0,3.28,0,0
 36-46,0,0,0,0,91.85,0,0,2.42,0,20.95,0,0.81,0.81,0.81,0.81,4.03,28.2,0,2.42,0.81,0,2.42,13.7,2.42,48.34,0,10.47,4.03,0,0,368.19,0,0,0,12.09,0,0,4.03,0,0
 48-58,0,0,0,0.57,49.92,0,0,6.31,0,35,0,1.72,1.15,0.57,0,6.31,8.03,0,2.3,0.57,0,6.31,9.75,0,39.02,0,4.02,1.15,0,0.57,304.69,0,0,0,6.31,0,0.57,0,0,0.57
 60-70,0,0,0.98,0,71.65,0.98,0,8.83,0.98,33.37,0,2.94,0.98,1.96,0,14.72,9.82,0,5.89,0.98,0,2.94,7.85,0,18.65,0.98,4.91,0.98,0,0,252.25,0,0.98,0,3.93,1.96,0,1.96,0,0
 72-82,0,0,4.91,1.96,89.33,1.96,0,5.89,0,27.49,0.98,2.94,4.91,0,0,15.71,21.6,0,2.94,0.98,0,4.91,19.63,0,28.47,0,9.82,11.78,0,0,266.03,0,0,0,1.96,16.69,0,7.85,0,0
 84-94,1.06,0,0,0,162.49,1.06,0,11.68,0,62.66,0,2.12,9.56,2.12,1.06,28.68,47.79,0,2.12,1.06,0,3.19,18.05,0,12.74,0,3.19,2.12,0,0,688.2,0,3.19,0,1.06,37.17,0,1.06,0,1.06
 96-106,0,0,0,3.28,217.48,3.28,3.28,13.11,1.09,55.74,1.09,1.09,31.69,0,0,45.9,59.01,1.09,6.56,3.28,0,10.93,18.58,0,24.04,0,8.74,10.93,0,1.09,587.95,0,0,0,2.19,51.36,0,0,2.19,1.09
108-118,0,0,0,0,228.26,2.3,0,6.13,0,75.06,0.77,4.6,35.23,0,0,32.17,44.43,1.53,4.6,1.53,0.77,3.83,15.32,0,17.62,0,4.6,3.06,0,0,473.37,0,2.3,0,0.77,69.7,0,1.53,0,0
120,0,0,1.96,0,223.42,3.92,0,5.88,0,54.87,0,5.88,27.44,0,0,33.32,33.32,0,7.84,1.96,0,3.92,11.76,0,15.68,0,1.96,5.88,0,0,272.41,0,0,0,0,23.52,0,1.96,0,0
