stage,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,mural.cell,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,2.63,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,1.64,0,32.83,0.82,0,0,0,0,9.03,0,0
 36-46,0,0,2.42,0,0,0,0,69.29,0,0.81,0,0,0,9.67,0,0
 48-58,0,0,5.74,0.57,1.72,1.15,0.57,64.27,0,0,0,0,0,5.74,0,0
 60-70,0.98,0,7.85,0,3.93,1.96,0,114.84,0,1.96,0,0,0,10.8,0.98,0.98
 72-82,1.96,0,9.82,0,0.98,3.93,0,152.16,0,4.91,0,0,0,9.82,0,1.96
 84-94,0,0,11.68,0,3.19,4.25,1.06,79.65,0,1.06,0,1.06,0,2.12,0,4.25
 96-106,1.09,1.09,7.65,0,3.28,3.28,0,69.94,0,2.19,0,1.09,0,2.19,0,0
108-118,0.77,0,6.89,0,1.53,3.06,0,87.32,0,0,0,0,0.77,0.77,0,0
120,0,0,15.68,0,1.96,0,0,115.63,0,0,0,0,0,3.92,0,0
