stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,3.22,0,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,2.3,0,0,0,0,0,5.74,0,0.57,0,0,2.87,0,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,20.61,0,0,0,0,0,16.69,0,4.91,0,0,2.94,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0.98,0.98,0.98,0,13.74,0,1.96,0,3.93,121.73,0,0,0,0,0,103.07,0,29.45,0.98,0,36.32,0,0.98,0,0,0,0,2.94,0,3.93,4.91,0
 84-94,0,0,0,0,6.37,1.06,0,0,1.06,247.45,0,1.06,0,0,0,395.08,1.06,11.68,4.25,0,27.61,0,0,0,3.19,0,0,1.06,0,3.19,5.31,0
 96-106,2.19,3.28,3.28,0,17.49,1.09,0,0,3.28,355.18,1.09,0,1.09,3.28,1.09,566.09,0,19.67,1.09,1.09,108.19,1.09,2.19,0,4.37,0,0,1.09,1.09,4.37,8.74,1.09
108-118,0,3.06,0.77,0.77,10.72,0,0,0.77,2.3,385.28,1.53,0.77,0,0,0,992.69,0,24.51,2.3,2.3,78.13,0.77,0.77,0,2.3,0.77,0.77,0,0.77,10.72,6.13,0.77
120,0,1.96,1.96,0,11.76,0,0,1.96,0,145.02,0,1.96,0,0,0,470.35,0,13.72,1.96,0,43.12,0,0,1.96,1.96,0,0,0,0,3.92,23.52,0
