stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,777.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,42.91,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,18.39,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,42.06,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,129.03,3.15,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,2,0,5,0,1,0,107,1,1,0,0,1,1,0,6,0,0,102,9,5,17,8,0,3,79,7,269,0,0,0
 24-34,0,0,0,1.64,2.46,0,0,2.46,0,0,0.82,96.86,0,0,0,0.82,0,5.75,0,7.39,0,0.82,64.03,0,37.76,6.57,0,0.82,0,45.15,2.46,197.01,0,0,0
 36-46,0,0,0,0,4.03,0,0,2.42,0,0,0.81,58.81,0,0,0,0,0,4.03,0,0.81,0,0.81,75.73,0,31.42,4.03,0,0,0,22.56,0,141.8,0,0,0
 48-58,0,0,0,0,1.15,0,0,6.89,0,0,0,52.22,0,0,0,0,0,3.44,0.57,1.72,0,0,33.85,0,20.66,4.02,0,0,0,8.03,0,123.94,0,0,0
 60-70,0,0,0.98,0,4.91,0,0,1.96,0,0,0,63.8,0.98,0,0,0,0,1.96,0,0.98,0,0,32.39,0,19.63,2.94,0,0,0,6.87,0,50.06,0,0,0
 72-82,0,0,8.83,0,0.98,0,0,7.85,0,0,0,86.39,4.91,0.98,0,0,0.98,9.82,0.98,1.96,0,0,35.34,0,33.38,12.76,0,0,0,8.83,0,32.39,0,0,0.98
 84-94,0,0,2.12,2.12,1.06,0,0,11.68,0,0,0,42.48,1.06,2.12,0,1.06,2.12,7.43,0,1.06,1.06,1.06,23.36,0,47.79,20.18,0,1.06,0,13.81,0,38.23,0,0,0
 96-106,0,0,1.09,1.09,2.19,1.09,0,6.56,1.09,0,0,48.09,5.46,0,0,1.09,2.19,14.21,0,0,0,1.09,8.74,0,50.27,21.86,0,0,0,9.84,0,25.14,1.09,1.09,0
108-118,0,0,4.6,3.83,5.36,0.77,0.77,4.6,0,0,0,36,0.77,0,0.77,0.77,1.53,5.36,0,0.77,0,1.53,14.55,0,50.55,15.32,0,0,0,13.79,0,20.68,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,23.52,0,0,0,1.96,1.96,9.8,0,0,0,0,21.56,0,21.56,13.72,0,0,0,3.92,0,9.8,0,0,0
