stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,2.63,2.63,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,15.73,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,7,1,0,35,0,0,1,0,2,1,2
 24-34,0,0,0.82,0,0.82,0,10.67,0,0,0,0,0.82,0,0,1.64,56.64,0,1.64,56.64,0,0.82,0,0.82,0,14.78,1.64
 36-46,0,0,0,0,3.22,0.81,24.17,0,0,0.81,0,0.81,0,0,0,46.73,0,1.61,37.87,0,1.61,0,1.61,0,41.09,0
 48-58,0,0,0,0.57,6.89,0,22.95,0,0,0,0,0.57,0,0.57,0.57,22.95,0,2.3,22.95,0,0.57,0,1.72,0,34.43,0
 60-70,0,0,0,0,1.96,0,19.63,0,0,0,0,2.94,0,0,0.98,11.78,0,3.93,20.61,0,0,0,0,0,20.61,0.98
 72-82,0,0,0,0,8.83,0,45.16,0,0,0,0.98,6.87,0,0.98,0,15.71,0,4.91,28.47,0,0,0,0,0,6.87,0
 84-94,0,0,0,0,4.25,0,14.87,0,1.06,2.12,0,2.12,0,0,1.06,15.93,0,13.81,44.61,0,1.06,0,1.06,0,11.68,1.06
 96-106,0,0,1.09,1.09,9.84,0,27.32,0,0,1.09,0,3.28,1.09,0,0,3.28,0,8.74,39.34,0,3.28,0,1.09,0,4.37,1.09
108-118,0,0,1.53,0,6.89,0,23.74,0.77,0,0,0,1.53,0,0.77,0,9.19,0,7.66,38.3,0,2.3,0,1.53,0,1.53,0
120,0,0,0,0,5.88,0,21.56,7.84,0,0,0,0,0,0,0,1.96,0,3.92,19.6,0,3.92,0,3.92,0,5.88,0
