stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,0,0,0,0,2.63,0,0,0,89.38,0,0,0,26.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,28.32,0,0,0,18.88,0,0,0,0,0,0
 14-21,0,0,0,4,1,3,0,0,0,0,3,0,0,19,1,1,0,0,0,2,1,7,0,1
 24-34,0,0,0,0.82,0.82,1.64,0,0,0.82,0,3.28,0,1.64,25.45,0,0,0.82,0,0,0,0,4.1,0,0.82
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0.81,0,0.81,8.06,0,0,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0,0,2.87,0,1.15,0,0,1.15,0,0.57,8.03,0,0,0,0,0,0,0,4.02,0,0
 60-70,0,0,0,0,0,5.89,0,1.96,0,0,0,0,1.96,3.93,0,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0.98,0,0.98,0,2.94,0,0,0.98,0.98,0,0.98,0,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,4.25,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,3.28,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,1.53,0,0,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0
