stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,lateral.line,mesenchyme,muscle,neural,otic,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,7.39,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,9.67,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,10.9,0,0,0,4.02,0.57,0
 60-70,0,0,0.98,0,0.98,0,0,0,0.98,0,2.94,0,0.98,0,1.96,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,1.96,0,9.82,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,1.06,0,1.06,0,3.19,0,3.19,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,2.19,1.09,1.09,0,0,1.09,0
108-118,0,0,0.77,0,2.3,0,0,0,1.53,0,0.77,0,0.77,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
