stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,7,0,0,0,0,2,1,0,1,0,0
 24-34,0,0,0.82,0.82,0.82,0,0,0,34.48,0,0,0,0,7.39,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,0.81,0,0,0,47.53,0,1.61,0,0,4.03,0,0,3.22,0.81,0.81
 48-58,0,0,0.57,0,2.3,0,0,0,45.33,0,0.57,0,0.57,6.31,0,0,0.57,1.15,0
 60-70,0,0,0.98,0,2.94,0,0,0,51.04,0,0,0.98,0,2.94,0,0,0,5.89,0
 72-82,0,0,0,2.94,2.94,0.98,3.93,0,77.55,0,1.96,0,0.98,1.96,0,0,0,8.83,0
 84-94,0,0,0,3.19,3.19,0,0,0,124.26,1.06,3.19,0,0,0,0,0,0,11.68,0
 96-106,0,0,0,0,1.09,0,3.28,1.09,165.02,0,4.37,0,0,1.09,0,0,0,15.3,0
108-118,0,0,0,4.6,1.53,0,0.77,0,127.15,0.77,1.53,0,0,4.6,0,0.77,0.77,11.49,0
120,0,0,0,13.72,0,0,0,0,148.94,0,5.88,0,1.96,0,1.96,0,0,15.68,0
