stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,38,4,0,12,0,0,0,2,0,3,0,0,1,0,0,0,9,0,0,9,67,2,0,2,3,0,15,13,1,0,18,28,0,0,0,0,0
 24-34,0,0,0.82,16.42,0,0,28.73,0,0.82,0,1.64,0.82,1.64,0,0,0.82,0,1.64,0.82,30.37,0,0,5.75,129.7,2.46,2.46,3.28,0,0.82,6.57,0,0,0,9.85,28.73,0,0,0.82,0,0
 36-46,0,0,0,11.28,0.81,0,12.09,0.81,3.22,0.81,5.64,0.81,0,0,0.81,0.81,0,0.81,0.81,8.86,0,0,4.83,69.29,0,0,0.81,0,0,10.47,0,0.81,0,0.81,15.31,0,0,0.81,0,0.81
 48-58,0,0,0,5.16,0,0,19.51,1.72,1.72,1.15,19.51,0,0,1.15,0.57,0,0,0.57,1.15,11.48,0,0,3.44,69.43,0,0.57,1.72,0,0,2.3,0,0.57,1.15,0,13.77,0,0,1.72,0,0
 60-70,0,0,0,9.82,0,0,35.33,2.94,0.98,0.98,16.69,1.96,0,0,1.96,0,0,0.98,1.96,18.65,0,0,0,76.56,0,0.98,4.91,0,0,11.78,0,0,0,0,9.82,0,0,0.98,0,0.98
 72-82,0,1.96,0,10.8,0.98,0,50.06,3.93,2.94,2.94,35.34,7.85,0,0,0.98,0,0.98,0,0,26.5,0.98,0,2.94,94.24,0,0,2.94,0,0,9.82,0,0.98,0,0,3.93,0,0,4.91,0.98,1.96
 84-94,0,1.06,0,8.5,1.06,0,33.99,1.06,1.06,2.12,14.87,14.87,0,0,6.37,3.19,1.06,1.06,2.12,10.62,0,0,6.37,41.42,0,3.19,1.06,0,1.06,20.18,0,2.12,0,0,4.25,1.06,1.06,8.5,0,0
 96-106,0,1.09,0,13.11,0,1.09,33.88,1.09,1.09,1.09,26.23,8.74,0,0,2.19,1.09,0,6.56,2.19,18.58,1.09,0,3.28,48.09,0,2.19,3.28,0,1.09,66.66,0,1.09,1.09,0,1.09,1.09,0,0,0,1.09
108-118,0,0,0,15.32,0.77,1.53,16.09,2.3,4.6,3.83,26.81,6.13,0,0,3.06,2.3,0,2.3,3.06,9.19,1.53,0.77,3.06,52.85,0,2.3,6.13,0,0.77,21.45,0,0,0.77,0,0.77,0.77,0.77,2.3,0,0.77
120,0,0,0,37.24,0,0,19.6,0,3.92,0,21.56,9.8,0,0,9.8,1.96,1.96,0,5.88,15.68,3.92,0,5.88,48.99,1.96,0,1.96,0,0,39.2,0,1.96,0,0,0,0,0,3.92,0,0
