stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.24,0.82,0,0,0,9.85,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,122.46,0,0,0,0,8.06,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,0,35.58,0,0.57,0.57,1.15,0,0,0,0,0,0,3.44,0.57,0,0.57,319.61,0,0,0,0,2.3,0,7.46,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,60.85,0.98,0,0,1.96,0,0,0,0,0,0,6.87,0.98,0,0,767.55,0,0,0,0,0,0,35.33,0,0,0,0
 72-82,0,0,0,11.78,3.93,0,129.58,0.98,0,0.98,13.74,0,0,0,0,0.98,0,20.61,0,0,0,749.99,0.98,0.98,0,0.98,0.98,0,32.39,0.98,2.94,0,1.96
 84-94,0,0,0,11.68,2.12,0,90.27,1.06,1.06,0,11.68,1.06,1.06,0,0,0,1.06,5.31,0,0,0,369.59,1.06,2.12,0,0,2.12,0,18.05,1.06,1.06,0,0
 96-106,0,0,1.09,3.28,2.19,0,63.39,0,3.28,1.09,13.11,0,0,1.09,1.09,0,0,9.84,0,1.09,2.19,307.09,0,0,0,0,3.28,0,8.74,0,1.09,2.19,0
108-118,0,0,0.77,6.89,1.53,0.77,44.43,0.77,0,0.77,3.06,0,0,0.77,0.77,0,0,6.89,0,0,0.77,373.79,0.77,0.77,0,0,0.77,0,6.13,0,0,0.77,0
120,0,0,0,3.92,3.92,0,62.71,0,0,0,7.84,0,0,0,0,0,0,7.84,0,1.96,0,450.75,1.96,0,0,1.96,5.88,1.96,3.92,0,0,0,0
