stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,21,10,0,7,0,0,0,3,2,1,0,1,0,0,1,0,11,0,0,7,163,2,2,5,4,0,0,1,13,7,2,12,68,0,0,2,0,0
 24-34,1.64,0.82,8.21,0.82,0,31.19,0,1.64,0.82,7.39,0.82,0.82,0,0.82,0,0.82,1.64,0.82,22.98,0.82,0,16.42,352.97,1.64,5.75,4.1,0,0,7.39,0,0,2.46,0.82,7.39,85.37,0,0,3.28,0,0.82
 36-46,0,0,2.42,0,0,78.15,0.81,0.81,0.81,16.11,0.81,1.61,1.61,0.81,0.81,0,0,0,24.98,0,0.81,7.25,398.81,0.81,5.64,0.81,0,0,5.64,0,0,4.83,0,0,102.32,0,0,1.61,0,0
 48-58,0,0,3.44,0,0,129.11,0,0.57,1.15,37.3,0,1.15,0.57,0,0.57,2.3,0.57,1.72,51.64,0.57,1.15,6.89,410.84,1.72,5.16,1.72,0,0,1.15,0,0,0.57,0.57,0,94.1,0,0,2.87,0,1.15
 60-70,0,0,4.91,0,0,159.01,0,0,0,29.45,0.98,0.98,0.98,0.98,0,0.98,0.98,0,39.26,0.98,0,2.94,330.77,0.98,4.91,0.98,0,0,5.89,0,0,0.98,0,0,47.11,0,1.96,2.94,0.98,0.98
 72-82,0,0,12.76,2.94,0,164.92,0,0.98,4.91,46.14,3.93,1.96,1.96,0.98,0.98,2.94,0,0,75.59,0,0,8.83,303.33,0,7.85,7.85,0,0.98,3.93,0,0,0,0,0,25.52,0.98,2.94,7.85,0.98,0.98
 84-94,0,0,13.81,3.19,0,89.21,0,2.12,3.19,26.55,2.12,3.19,1.06,2.12,1.06,0,0,1.06,47.79,1.06,5.31,4.25,111.51,0,4.25,7.43,0,0,12.74,0,0,2.12,0,0,7.43,1.06,0,5.31,2.12,3.19
 96-106,0,1.09,5.46,0,0,69.94,1.09,2.19,1.09,26.23,5.46,0,5.46,4.37,0,2.19,2.19,0,27.32,0,0,7.65,89.61,0,3.28,7.65,0,0,4.37,0,0,4.37,0,0,7.65,0,1.09,5.46,1.09,0
108-118,0.77,0,4.6,1.53,2.3,45.19,0,0.77,1.53,16.09,0.77,0,3.83,3.06,0.77,2.3,0,2.3,27.57,0,0.77,3.06,124.85,0,6.89,8.43,0,1.53,4.6,0,0,0.77,0.77,0,4.6,0,0.77,1.53,0.77,1.53
120,0,0,13.72,0,0,56.83,0,1.96,0,5.88,3.92,0,3.92,0,1.96,3.92,0,0,13.72,1.96,1.96,3.92,101.91,1.96,3.92,3.92,0,0,5.88,0,0,1.96,0,0,3.92,1.96,0,1.96,0,0
