stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,4.1,0,0,0.82,0,0,0,0,0,0,5.75,0.82,0,0.82,2.46,0.82,0,0.82,19.7,0.82,0,0,0,0,1.64,11.49,0,0.82,0.82,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,5.64,0,0,0,0,0,0,10.47,0,0,0,0,2.42,0,0,14.5,0,0,0,0,0.81,0,10.47,0,0,5.64,0,0,0,0,0.81
 48-58,0,0,0,4.02,2.3,0,5.16,0.57,0,0,1.15,0,0,14.35,0,0,0.57,2.3,9.75,0.57,0,14.92,0,0.57,0,0,0,0.57,4.59,0,0,2.87,0,0,0.57,0,0
 60-70,0.98,0,0,14.72,1.96,0,8.83,0.98,0.98,0.98,0.98,0,0,28.46,0,0,0,0.98,5.89,0,0,20.61,0,0,0.98,0,0,2.94,7.85,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,6.87,2.94,0,6.87,0,0,0,3.93,0.98,0,71.66,0,0,0,6.87,4.91,0,0,13.74,0,0,0,0,0,1.96,3.93,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,29.74,0,0,6.37,0,1.06,0,3.19,4.25,0,117.89,3.19,0,0,3.19,8.5,0,0,6.37,0,5.31,1.06,0,0,3.19,23.36,0,0,1.06,0,1.06,1.06,0,0
 96-106,0,0,0,64.48,3.28,0,14.21,0,0,1.09,8.74,5.46,0,202.18,6.56,1.09,0,10.93,10.93,0,0,30.6,1.09,5.46,1.09,0,0,5.46,17.49,0,0,0,0,1.09,2.19,0,1.09
108-118,0,0,0,61.28,0,0,3.83,0,0.77,0.77,1.53,1.53,0.77,193.02,7.66,2.3,0,5.36,12.26,0,0.77,13.79,0,5.36,0,0,0,1.53,19.92,0,0,0,1.53,0,0.77,0.77,0
120,0,0,0,68.59,1.96,1.96,3.92,0,0,0,0,0,1.96,115.63,1.96,3.92,0,1.96,5.88,0,1.96,7.84,0,1.96,0,0,0,5.88,17.64,1.96,0,0,0,0,1.96,0,0
