stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,13.14,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,25.18,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,3,12,4,0,13,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,35,0,0,1,0,0,3,0,4,0,9,9,0,0,0,0,0
 24-34,0,0,0.82,7.39,0,0,5.75,0,0,2.46,0.82,0,0,0,0.82,0,0,0,0,12.31,0,0,4.1,59.1,0,2.46,0.82,0,0,6.57,0,0,0.82,0.82,8.21,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,7.25,0,0,1.61,0,0,0,0.81,0,0,0.81,0,0.81,9.67,0,0,0.81,27.39,0,0.81,0.81,0,0,5.64,0,0,0,0,5.64,0,0,3.22,0,0
 48-58,0,0,0,4.59,0,0,9.18,1.15,0.57,4.59,0,0,0,1.15,0,0.57,0.57,1.15,0,15.49,0.57,0.57,3.44,17.21,0,0,0,0,0,2.3,0,0,0,0,2.3,0,0.57,1.15,0,0
 60-70,0,0,0,0.98,0,0,3.93,0.98,0,4.91,0,0,0,2.94,0.98,0,0,1.96,0,19.63,1.96,1.96,0.98,15.7,0,0.98,0.98,0,1.96,2.94,0,0,0,0,0.98,0,0,5.89,0.98,0
 72-82,0,0,0,7.85,0,0,15.71,0,0.98,9.82,0.98,0,0,12.76,0.98,0.98,0.98,0.98,0,45.16,0.98,0.98,4.91,12.76,0,0,1.96,0,0,7.85,0,0,0,0,0.98,0,0,4.91,1.96,0.98
 84-94,0,0,0,9.56,0,0,7.43,0,0,7.43,1.06,0,1.06,19.12,1.06,2.12,1.06,1.06,0,36.11,3.19,1.06,4.25,15.93,0,0,1.06,0,0,21.24,0,0,0,0,0,0,0,5.31,0,0
 96-106,0,0,0,18.58,1.09,0,7.65,1.09,1.09,3.28,8.74,0,0,31.69,1.09,0,1.09,0,0,37.16,1.09,1.09,3.28,19.67,1.09,1.09,1.09,0,0,20.76,0,0,0,0,1.09,0,0,12.02,1.09,0
108-118,0,0,0,22.21,0.77,3.06,6.89,2.3,0.77,5.36,4.6,0,1.53,26.81,1.53,0.77,2.3,0.77,0,40.6,0,0,6.89,20.68,1.53,2.3,0,0,0.77,18.38,0,0,0,0,0.77,0.77,0,9.19,1.53,0
120,0,0,0,17.64,1.96,0,11.76,3.92,1.96,7.84,3.92,0,0,27.44,1.96,0,0,0,0,21.56,0,0,7.84,23.52,0,0,0,0,0,15.68,0,0,0,0,0,0,0,13.72,0,0
