stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,141,0,3,0,0,0,0,1,0,2,78,0,0,0,0,0
 24-34,0,0.82,0,2.46,0,0,19.7,0,0,0,2.46,0,0,4.93,0,0,0,0,0,0,3.28,0,0,0.82,1238.67,0.82,23.8,0.82,0,0,4.1,0,0,0,286.48,0,0,1.64,0,0
 36-46,0,0,0.81,7.25,0.81,0,280.37,0.81,0.81,0,16.11,0,0,10.47,1.61,0,0,0,0.81,0.81,19.34,0,2.42,3.22,3862.38,1.61,27.39,0.81,0,0,4.83,0,0.81,0,681.6,0,0,4.03,0,0
 48-58,0,1.72,0,15.49,1.15,0,1448.28,2.3,1.72,2.87,69.43,0.57,0,4.02,0.57,0,1.15,1.15,1.15,6.31,58.53,0.57,4.02,10.9,4920.95,1.15,17.21,0.57,0,0.57,10.9,0,0.57,0.57,865.87,0,0,4.02,0,6.89
 60-70,0,0,0,22.58,4.91,0,3579.61,0.98,2.94,2.94,61.84,1.96,0.98,4.91,4.91,0.98,1.96,2.94,0.98,16.69,94.23,1.96,1.96,6.87,5422.91,2.94,9.82,4.91,0,0.98,16.69,0,6.87,1.96,797,0,0,6.87,0,7.85
 72-82,0,6.87,0,87.37,18.65,0,4563.75,4.91,6.87,13.74,246.4,5.89,0,5.89,13.74,2.94,1.96,5.89,3.93,19.63,264.07,0.98,7.85,21.6,5160.6,3.93,19.63,10.8,0,2.94,15.71,0,0.98,1.96,554.64,4.91,5.89,14.72,8.83,9.82
 84-94,0,7.43,0,140.19,12.74,0,2711.38,7.43,13.81,10.62,206.04,7.43,0,11.68,11.68,3.19,11.68,2.12,4.25,31.86,216.66,4.25,9.56,23.36,2591.37,1.06,7.43,10.62,0,0,35.05,0,4.25,1.06,329.23,6.37,11.68,13.81,13.81,4.25
 96-106,0,5.46,1.09,100.54,16.39,2.19,2350.71,15.3,16.39,4.37,195.62,6.56,0,17.49,24.04,5.46,7.65,8.74,6.56,18.58,237.15,2.19,8.74,13.11,2114.66,4.37,28.41,9.84,0,7.65,33.88,0,4.37,1.09,137.7,5.46,5.46,14.21,5.46,9.84
108-118,0,0,0,48.26,10.72,3.83,1769.37,11.49,3.83,4.6,109.53,3.83,0,8.43,13.02,4.6,1.53,3.83,4.6,19.15,209.11,2.3,5.36,6.89,2647.17,3.06,16.85,6.89,0,3.06,13.02,0,3.06,0.77,104.17,4.6,5.36,9.96,4.6,3.06
120,0,1.96,0,60.75,9.8,1.96,1338.53,9.8,19.6,1.96,150.9,5.88,0,1.96,5.88,7.84,1.96,11.76,3.92,9.8,199.9,0,1.96,15.68,2757.42,3.92,17.64,9.8,0,1.96,27.44,0,3.92,1.96,125.43,1.96,0,5.88,7.84,1.96
