stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,0,0.82,0,5.75,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,1.61,0,0,0.81,1.61,0,8.86,0,0,0,0,3.22,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,1.72,1.15,0,8.03,0,0,0,0,2.3,2.3,0.57,0,0
 60-70,0,0,0,2.94,0,0.98,0,1.96,0,45.15,0.98,0,0,0,0,6.87,0,0,0
 72-82,0,0.98,0.98,3.93,0.98,0,0,0,0,63.81,0,0,0,0,0,3.93,0.98,0.98,0
 84-94,0,0,0,5.31,0,1.06,0,1.06,1.06,30.8,0,0,0,0,0,4.25,1.06,0,1.06
 96-106,0,0,0,8.74,0,1.09,0,1.09,0,22.95,0,0,0,0,2.19,2.19,2.19,0,0
108-118,0,0,0,4.6,0,1.53,0,1.53,0,29.87,0,0.77,0,0,0,3.06,0.77,0,0.77
120,0,3.92,0,1.96,0,0,0,0,0,25.48,0,0,0,1.96,1.96,1.96,0,1.96,0
