stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,13,6,11,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,1,0,0,126,40,9,0,0,0,0
 24-34,0,0,15.6,2.46,52.53,1.64,0,8.21,210.96,2.46,1.64,0.82,0,0,1.64,0,0.82,0.82,0.82,1.64,13.95,0.82,0.82,30.37,114.1,0,1.64,0.82,0,11.49,0,0.82,0,191.26,118.2,37.76,0,0,4.93,1.64
 36-46,0,0,2.42,0,37.06,0,0,8.86,409.28,4.03,0,4.03,0,0,0,0,0,0,0,0.81,11.28,0.81,0,11.28,78.15,0,1.61,0,0,1.61,0,0,0,173.22,6.45,29.81,0,0,2.42,0.81
 48-58,0,0,1.72,0,42.46,0.57,0,29.26,353.46,4.02,1.15,9.18,0,0,0,0,0.57,0,0.57,1.72,19.51,0.57,0.57,17.79,102.71,0.57,1.15,0,0,1.72,0,0,0.57,145.75,0,24.1,0,0,2.87,1.72
 60-70,0,0,0.98,0,28.46,0,0,22.58,193.36,3.93,0,6.87,0.98,0,0.98,0,1.96,0.98,0.98,0,10.8,1.96,0,8.83,40.24,0.98,0.98,0.98,0.98,3.93,0,0,0,84.41,0,2.94,0,0,1.96,2.94
 72-82,0,0,22.58,0,32.39,2.94,0,19.63,103.07,4.91,0,2.94,9.82,0,0.98,0,0,0,1.96,0.98,19.63,1.96,0,8.83,33.38,0,0,2.94,0,1.96,0,0,0,33.38,0,4.91,0,0,0,2.94
 84-94,0,0,14.87,0,62.66,3.19,0,19.12,175.24,3.19,1.06,5.31,4.25,0,2.12,1.06,0,2.12,0,0,15.93,1.06,1.06,7.43,23.36,0,1.06,0,0,2.12,0,0,0,76.47,0,0,0,1.06,1.06,2.12
 96-106,0,0,9.84,0,59.01,8.74,1.09,31.69,289.6,2.19,0,9.84,7.65,1.09,2.19,0,4.37,1.09,4.37,0,26.23,2.19,2.19,15.3,48.09,0,0,1.09,0,10.93,0,0,0,76.5,0,0,2.19,0,3.28,4.37
108-118,0,0,5.36,0.77,72.77,2.3,0.77,13.02,183.07,4.6,0.77,4.6,5.36,0.77,1.53,0,0,0,0.77,0,15.32,0,0,21.45,36,0,0.77,0.77,0,6.89,0,0,0,42.89,0,0.77,0,0,2.3,0
120,0,0,1.96,0,54.87,1.96,0,7.84,96.03,3.92,0,0,1.96,0,0,0,0,1.96,0,0,3.92,1.96,0,9.8,25.48,0,0,0,0,1.96,0,1.96,0,15.68,0,1.96,0,0,0,0
