stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,18.88,0,0,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,280,2,0,5,0,0,0,0,2,1,0,0,8,0,1,4,1,3,0,1,10,0,0,0,0,249,1,0,1,0,5,0,0,0,0,0
 24-34,0,0,2.46,421.92,0.82,0,8.21,0,12.31,0,0.82,0.82,0,0.82,0,11.49,0,1.64,4.1,1.64,9.85,0,0,38.58,1.64,3.28,0,0,703.47,0,4.93,0.82,1.64,7.39,0,0,1.64,0,0
 36-46,0,0,0,213.5,0,0,8.86,0,30.62,0,1.61,3.22,0,0,0,10.47,0,0,1.61,3.22,8.86,0,0.81,37.06,0.81,4.83,0.81,0,601.03,0,2.42,0.81,0,11.28,0,0,0,0,1.61
 48-58,0,0,0,153.78,0,0,9.18,0,37.3,0.57,2.3,1.72,0.57,0,0,2.3,0,1.15,1.72,5.16,2.3,0,1.15,35.58,0,2.3,0,0,368.38,0,0.57,1.72,0,6.31,0,0,0.57,0,0.57
 60-70,0,0.98,0,199.25,0,0,8.83,0,26.5,0,2.94,2.94,0.98,0,0,5.89,0,0.98,1.96,4.91,4.91,1.96,0,14.72,0.98,3.93,0.98,0,351.38,0,4.91,0,0,0.98,11.78,0,0,0,0
 72-82,0,0.98,0,175.72,0.98,0,9.82,0,24.54,0,3.93,15.71,0,0,0.98,10.8,0,2.94,2.94,9.82,5.89,0,0.98,18.65,0.98,6.87,0,0,231.67,0,2.94,0,0,0.98,53.99,0,0.98,0,0.98
 84-94,0,0,0,301.62,0,0,12.74,0,64.78,0,1.06,27.61,0,0,1.06,33.99,2.12,3.19,3.19,4.25,3.19,0,2.12,9.56,1.06,5.31,0,0,690.32,0,2.12,1.06,0,0,164.62,0,1.06,0,0
 96-106,0,0,0,288.51,1.09,1.09,6.56,0,48.09,0,3.28,63.39,0,0,2.19,22.95,0,5.46,9.84,6.56,9.84,1.09,1.09,21.86,0,7.65,1.09,0,498.34,0,0,1.09,0,0,227.31,2.19,0,1.09,0
108-118,0,0,0,233.62,0,0,1.53,0.77,68.94,0.77,0.77,61.28,0,0.77,5.36,31.4,0,0.77,6.89,6.89,7.66,0,0,13.02,1.53,2.3,0,0,399.83,0,3.83,0.77,0,0.77,228.26,0,1.53,0,0.77
120,0,0,0,182.26,0,0,5.88,0,41.16,0,0,64.67,0,0,3.92,25.48,0,1.96,3.92,7.84,1.96,0,1.96,33.32,0,1.96,0,0,244.97,0,1.96,0,0,1.96,74.47,0,1.96,0,0
