stage,axial,blastomeres,endocrine_pancreas,endoderm,eye,glial,lateral_line,mesenchyme,muscle,neural,olfactory,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,4.83,0,0,0,0.81
 48-58,0,0,0.57,0,1.72,0.57,0,0,0,7.46,0,0,0,1.15
 60-70,0,0,0,0,1.96,0.98,0,0,0,7.85,0.98,0,0,0.98
 72-82,0,0,0,0,2.94,0,0,4.91,0.98,7.85,0,0,0,0.98
 84-94,0,0,0,0,1.06,1.06,1.06,3.19,0,4.25,0,0,0,3.19
 96-106,0,0,0,0,2.19,0,0,4.37,1.09,4.37,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0,3.06,0,12.26,0,0,0,0
120,1.96,0,0,0,0,0,0,0,0,5.88,0,0,0,0
