stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,367.78,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,15.77,0,0,0,52.57,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,444.25,15.77,0,0,168.24,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,25.18,0,0,0,69.23,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,591.63,6.29,0,0,119.58,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,6,472,36,0,61,6,0,19,9,0,3,0,5,0,4,0,1,52,0,0,54,734,11,6,12,30,0,6,51,5,0,44,398,0,0,3,0,0
 24-34,0,0,0.82,4.1,97.68,0.82,0,41.04,19.7,4.93,29.55,0.82,0,2.46,0,2.46,0,18.06,0,0,104.25,1.64,0,63.21,1349.49,7.39,7.39,10.67,0,0.82,11.49,0,0.82,0,10.67,448.19,0,0,12.31,0,0.82
 36-46,0,0,0,0,27.39,0,0,161.13,9.67,4.03,55.59,0,0,4.03,0.81,0,0,13.7,0.81,2.42,99.9,0.81,2.42,28.2,1379.31,2.42,5.64,6.45,0,0,2.42,0,1.61,0,0,443.92,0,0.81,3.22,0,0.81
 48-58,0,0,0.57,0,37.3,0,0,358.05,10.9,4.59,125.66,1.15,0,4.02,0,1.72,0,16.07,0.57,1.15,147.47,2.87,5.16,24.1,1085.64,0,2.87,4.59,0,0.57,4.02,0,1.15,1.15,0,393.63,0,1.15,5.16,0,1.72
 60-70,0,0,0,0,34.35,0,0,451.5,7.85,3.93,127.6,0.98,0,3.93,0.98,2.94,0,16.69,0.98,0,105.02,0,2.94,10.8,878.46,0,0.98,0,0,0.98,1.96,0,0,0,0,213.97,3.93,0.98,2.94,0,0.98
 72-82,0,0,0.98,0,36.32,2.94,0,476.11,4.91,3.93,114.85,0,0,4.91,0,3.93,0,33.38,0,0,152.16,0,7.85,12.76,679.31,0,0.98,4.91,0,0,4.91,0,0.98,0.98,0,75.59,3.93,3.93,4.91,1.96,0.98
 84-94,0,0,0,0,55.23,2.12,0,305.87,9.56,1.06,66.91,4.25,0,3.19,0,7.43,4.25,21.24,1.06,1.06,61.6,2.12,9.56,10.62,369.59,0,3.19,8.5,0,2.12,16.99,0,2.12,0,0,58.41,3.19,3.19,2.12,3.19,0
 96-106,0,0,2.19,0,41.53,0,1.09,251.35,8.74,6.56,75.41,4.37,0,3.28,0,6.56,2.19,38.25,0,0,67.76,1.09,1.09,9.84,301.63,0,6.56,10.93,0,1.09,5.46,0,0,0,0,25.14,1.09,2.19,2.19,1.09,0
108-118,0,0,0,0,64.34,0,1.53,193.79,16.09,0.77,52.09,5.36,0,1.53,0.77,7.66,3.06,26.81,1.53,1.53,65.11,1.53,4.6,8.43,362.3,0,1.53,6.89,0,2.3,5.36,0,3.06,0.77,0,21.45,8.43,0.77,3.83,1.53,0.77
120,0,0,0,0,45.08,0,0,190.1,17.64,0,56.83,1.96,0,11.76,0,3.92,1.96,21.56,0,1.96,47.03,0,3.92,5.88,293.97,1.96,1.96,5.88,0,3.92,1.96,0,0,0,0,17.64,1.96,0,1.96,0,0
