stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pronephros,somites,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,9,0,0,0,1,2
 24-34,0,0,3.28,0,0,2.46,1.64,0,0.82,24.63,0,0,0,0.82,8.21
 36-46,0,0,5.64,0.81,0,1.61,0.81,0,0,29.81,0.81,0,0,0,6.45
 48-58,0,0.57,5.16,0.57,0.57,4.02,0,0,0,21.23,0,0,0,0,6.31
 60-70,0,0,3.93,0,0,3.93,0,0.98,0,16.69,0,0,0,0,0.98
 72-82,0,0,8.83,0,0,5.89,1.96,0,0,14.72,0,0,0,0,1.96
 84-94,0,1.06,0,0,1.06,3.19,0,0,0,6.37,0,0,1.06,0,0
 96-106,0,1.09,3.28,0,0,2.19,1.09,0,0,4.37,0,0,0,0,1.09
108-118,0,0,3.06,0,0,1.53,0,0,0.77,9.96,0,0,0,0,0.77
120,0,0,7.84,0,0,1.96,0,0,0,21.56,0,1.96,0,0,3.92
