stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,65.89,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,245.19,1961.48,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,67.43,24.52,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,21.03,0,49.95,0,0,0,60.46,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,809.64,78.86,0,0,520.49,0,2.63,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,25.18,0,12.59,0,47.2,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,503.52,31.47,0,0,198.26,0,0,6.29,0,15.73,0,9.44,0,0,0,0,0
 14-21,0,0,0,3,21,1,0,7,0,0,0,1,0,1,0,0,0,0,0,0,6,0,8,113,3,0,1,3,0,0,0,19,0,5,37,38,0,0,0,0
 24-34,0,0,0,0.82,13.13,0,0,15.6,0,0.82,4.1,3.28,0,0,0,0,0,0,1.64,0.82,30.37,0,17.24,196.18,2.46,0.82,5.75,0,0,0,0,0,0,1.64,11.49,53.36,0,0,3.28,0
 36-46,0,0,0,0,6.45,0,0,14.5,0,0,0.81,15.31,0,0,0,0,0,0,0,0,27.39,0.81,14.5,112.79,0,8.06,0.81,0,0,0,0,0,0,0,0,36.26,0,0,0.81,0
 48-58,0,0,0,0,2.3,0,0,94.1,0.57,0,1.72,19.51,0,0,0,0,0,0,0.57,0,44.18,1.72,8.61,39.59,0,1.72,3.44,0,0,0,0,0,1.15,0,0,20.08,0,0,0,0
 60-70,0,0,0,0,6.87,0,0,172.75,0,0,0.98,30.43,0.98,0,0,0.98,0,1.96,0,0,56.93,0,5.89,24.54,0,8.83,2.94,0,0,0,0,0,0.98,0,0,5.89,0,1.96,0,0.98
 72-82,0,0,1.96,0,5.89,0,0,86.39,0,0,2.94,59.88,1.96,0,0.98,0,0,0,0,0,93.26,1.96,9.82,19.63,0,11.78,0.98,0,0.98,0,0,0,0,0,0,1.96,0.98,0,0.98,4.91
 84-94,0,0,0,0,12.74,0,0,122.13,1.06,2.12,3.19,25.49,1.06,0,0,0,1.06,0,0,0,64.78,5.31,4.25,16.99,1.06,5.31,2.12,0,0,0,0,0,0,0,0,2.12,0,3.19,0,6.37
 96-106,0,0,0,0,7.65,0,0,36.06,0,0,3.28,38.25,0,0,0,1.09,2.19,0,0,0,53.55,0,3.28,15.3,0,6.56,4.37,0,0,0,0,0,0,0,0,0,0,2.19,0,9.84
108-118,0,0,0,0,11.49,0,0.77,27.57,0,0,1.53,29.11,3.06,0,0,0,0.77,3.83,0,0,35.23,0.77,4.6,20.68,0,4.6,4.6,0,0.77,0,0,0,0,0,0,0,0,2.3,0,3.06
120,0,0,0,0,0,1.96,0,25.48,0,3.92,1.96,27.44,0,0,0,0,0,5.88,0,0,29.4,0,1.96,21.56,1.96,1.96,5.88,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96
