stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,39.53,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,453.59,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0
  7-9,5.26,0,2.63,0,2.63,0,0,0,0,0,0,0,52.57,10.51,0,0,26.29,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,25.18,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,1,0,0,1,2,0,0,0,0,2,1,0,2,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0,0,0.82,0,0,0,1.64,0
 36-46,0,0,0.81,0.81,0.81,0,0,0,0.81,0,0,0,3.22,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,3.19,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0
