stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,25.18,6.29,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,32,25,190,0,8,0,0,0,1,8,3,3,2,3,0,0,6,13,0,0,7,13,2,0,0,0,0,0,2,82,0,5,6,0,0,60,0,0
 24-34,0,0,0,14.78,5.75,17.24,0,25.45,0,0,0,0,2.46,1.64,13.95,17.24,0.82,0,0,8.21,9.03,0,0,13.95,27.09,1.64,0.82,0,0,0,0,0,86.19,0,0.82,4.93,0,0,189.62,0,0
 36-46,0,0,0,2.42,4.03,1.61,0,15.31,0,0.81,0,4.83,5.64,0,8.86,4.03,0,0,0,4.03,29.81,0,0,8.86,12.09,0,3.22,0.81,0,0,1.61,0,38.67,0,0,2.42,0,0,87.01,0,0
 48-58,0,0,0.57,0,8.03,0.57,0,27.54,0.57,0,1.72,13.2,5.16,0.57,13.77,2.3,0,0,0,5.74,23.53,0,0.57,3.44,13.77,0,2.3,1.15,0,0,0,0,25.82,0,0,2.3,0,0,63.69,0,0
 60-70,0,0,0,0,3.93,0.98,0,73.61,0,1.96,2.94,11.78,11.78,0.98,16.69,5.89,1.96,0.98,0,12.76,47.11,0,0.98,1.96,17.67,0,0,0,0,0,1.96,0,23.56,0,0,3.93,0,0.98,77.54,0,0
 72-82,0,0,0.98,3.93,4.91,1.96,0,78.53,0,0,1.96,21.6,39.27,0,21.6,22.58,4.91,0,0.98,21.6,48.1,0,0.98,2.94,23.56,0,1.96,0.98,0,0,0.98,0,50.06,0.98,0,2.94,0,0.98,137.43,0,0.98
 84-94,0,0,0,3.19,6.37,1.06,8.5,73.28,0,0,1.06,10.62,75.4,3.19,15.93,22.3,2.12,0,0,91.34,22.3,2.12,1.06,2.12,18.05,0,0,2.12,0,0,2.12,0,105.14,0,0,2.12,0,1.06,114.7,0,0
 96-106,0,0,1.09,3.28,6.56,4.37,3.28,46.99,0,0,2.19,13.11,49.18,0,31.69,29.51,8.74,0,1.09,66.66,38.25,1.09,1.09,0,34.97,1.09,3.28,6.56,0,1.09,2.19,0,77.59,0,0,1.09,0,1.09,124.58,2.19,0
108-118,0,0,1.53,4.6,6.89,2.3,7.66,26.81,0,0.77,1.53,6.89,75.06,0,12.26,18.38,9.19,0,0.77,122.55,28.34,1.53,0.77,1.53,32.94,0.77,0.77,3.83,0,0,2.3,0,65.87,0,0,0,2.3,0,98.04,2.3,0
120,0,0,0,3.92,3.92,3.92,9.8,27.44,0,1.96,1.96,11.76,80.35,1.96,13.72,29.4,3.92,0,0,62.71,17.64,1.96,1.96,1.96,21.56,1.96,1.96,0,0,0,0,0,43.12,0,0,0,0,0,74.47,1.96,0
