stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,1.64,4.1,0.82,0,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0.81,0,3.22,3.22,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,0,0,0,0,0,3.44,0.57,2.87,4.59,0,0,0,0,0,0,1.15,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,3.93,1.96,3.93,8.83,0,0.98,1.96,0.98,0,0,0.98,0,0.98,0.98
 72-82,0,0,0.98,0,0.98,1.96,0,0,0,1.96,0,0,0,0,14.72,1.96,3.93,4.91,0.98,0,7.85,1.96,0,0.98,0.98,1.96,0.98,1.96
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,1.06,5.31,2.12,3.19,4.25,0,0,13.81,1.06,0,0,1.06,2.12,1.06,1.06
 96-106,0,0,1.09,0,0,3.28,1.09,0,0,0,1.09,0,1.09,0,10.93,3.28,1.09,6.56,1.09,1.09,14.21,2.19,0,0,2.19,1.09,0,3.28
108-118,0,0,1.53,0,0,1.53,0.77,0.77,0.77,0,1.53,0,0,0.77,4.6,4.6,3.06,5.36,2.3,0,8.43,3.06,0,0,0,0.77,1.53,0.77
120,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,15.68,1.96,0,0,1.96,1.96,1.96,0
