stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  3-4,184.49,1186.01,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,226.8,3610.36,30.65,0,0,0,0,24.52,0,0,496.5,12.26,0,147.11,79.69,0,0,0,0
  7-9,49.95,94.63,538.89,0,0,21.03,0,28.92,0,0,2326.41,52.57,0,2095.08,5.26,7.89,7.89,0,0
 10-12,0,72.38,195.11,0,15.73,6.29,0,3.15,0,0,855.98,6.29,0,368.2,0,3.15,204.55,0,0
 14-21,0,0,0,2,7,0,0,0,2,2,8,0,0,2,1,0,0,1,15
 24-34,0,0,0,0.82,1.64,0,0,0,1.64,0,9.85,0,0.82,0,0,0,0,0,9.85
 36-46,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,0,0,0,0,9.67
 48-58,0,0,0,0,1.72,1.15,0,0,0.57,0,16.64,0,0,0,0,0,0,0,4.02
 60-70,0,0,0,0,0,1.96,0.98,0,0,0,16.69,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,1.96,5.89,0,0,0,0,12.76,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,3.19,2.12,0,1.06,0,10.62,0,0,0,0,0,0,0,3.19
 96-106,0,0,0,0,0,2.19,0,0,0,0,7.65,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.06,0.77,0,0,0,6.13,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,7.84,0,0,0,0,0,0,0,1.96
