stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,12.26,410.69,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,12.26,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,10.51,0,0,34.17,0,0,0,2.63,0,0,0,0,0,0,0,218.18,2.63,0,0,107.78,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,15.73,0,6.29,15.73,0,0,0,9.44,0,0,0,0,0,0,0,220.29,3.15,0,0,88.12,0,0,18.88,0,3.15,0,0,0,0
 14-21,0,0,1,3,1,5,0,0,3,0,0,1,0,0,5,0,4,75,0,0,1,1,1,2,1,5,22,0,0,0,0
 24-34,0,0,0,0,0,9.85,0,0,4.93,0,0,0,0,0.82,5.75,0,3.28,96.86,0,1.64,0.82,0.82,1.64,0,0,1.64,22.16,0,1.64,0,0
 36-46,0,0,0,0.81,0,13.7,0.81,0,4.03,0,0,0,0,0,9.67,0,2.42,87.01,0,2.42,0,0,0,0,0,0,10.47,0,0,0,0.81
 48-58,0,0,0,1.15,0,16.07,0,1.15,4.02,0,0,0,0,0,10.33,0,1.72,53.36,0,0.57,0,0,1.15,0,0,0,9.75,0,0,0,0
 60-70,0,0,0,0.98,0,17.67,0.98,0,4.91,0,0,0,0,0,8.83,0,1.96,48.09,0,0.98,0,0,0.98,0,0,0,7.85,0,0.98,0,0
 72-82,0,0,0,0.98,0,14.72,0.98,0,5.89,0,0.98,0,0,0,11.78,0.98,1.96,60.86,0,0,0.98,0,1.96,0,0,0,3.93,0,1.96,0.98,0
 84-94,0,0,0,0,0,12.74,0,1.06,4.25,0,1.06,1.06,1.06,0,5.31,0,1.06,29.74,0,0,1.06,0,1.06,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,3.28,0,12.02,0,1.09,9.84,0,0,0,0,0,10.93,0,1.09,26.23,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,3.83,0,10.72,0,0.77,4.6,0,0,0,0,0.77,12.26,0,1.53,36.77,0,0,0.77,0,0.77,0,0,0,1.53,0.77,0.77,0,0.77
120,0,0,0,0,0,9.8,0,0,1.96,0,0,1.96,0,0,7.84,0,1.96,48.99,0,0,0,0,0,0,0,0,0,0,0,0,0
