stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,4.1,0,0
 36-46,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0.81,0,0,2.42,0,0.81
 48-58,0,33.85,0,0,0,0,2.87,0,0.57,0,0,0,0,0,0,1.72,0.57,0,0,2.87,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,86.37,0,0,3.93,0,3.93,0,0,0,0,0,0,0,0.98,0.98,1.96,0.98,0,1.96,0,0,0,1.96,0.98,0,0,0,2.94,0,0.98
 72-82,0,172.77,0,0,3.93,0,7.85,1.96,1.96,0,0,0,0,0.98,0,0,5.89,0.98,0,6.87,0.98,0.98,0,0.98,0.98,0,0.98,0,6.87,0,0
 84-94,0,402.51,1.06,0,0,0,16.99,0,0,3.19,0,0,2.12,0,0,0,1.06,5.31,0,4.25,0,2.12,0,2.12,0,0,0,0,8.5,0,0
 96-106,1.09,595.6,0,0,2.19,1.09,40.44,1.09,5.46,10.93,1.09,2.19,5.46,0,0,2.19,6.56,8.74,2.19,28.41,0,3.28,1.09,14.21,2.19,0,3.28,1.09,14.21,1.09,0
108-118,0,527.75,1.53,0,5.36,0,47.49,0,2.3,14.55,0,1.53,3.06,3.83,0,0,6.89,7.66,0,19.15,0,3.83,0.77,6.89,0.77,0.77,0.77,0,10.72,1.53,0
120,0,388.04,0,1.96,1.96,0,37.24,0,1.96,3.92,0,0,3.92,1.96,1.96,1.96,0,5.88,0,7.84,0,0,1.96,1.96,1.96,0,1.96,0,0,0,0
