stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,26.29,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,15.73,0,0,0,0,0,0,0,0,0,0,132.17,6.29,0,0,97.56,0,6.29,0,9.44,0,0,3.15,0,0
 14-21,0,0,0,12,3,10,0,0,3,1,0,0,0,5,0,8,97,0,0,0,1,0,0,32,1,3,25,220,0,0
 24-34,0,0,0,4.93,0,5.75,0,0,0.82,0,0,0,0,9.03,0,4.1,21.34,0,0,1.64,0,0,0,0,0,0,5.75,9.03,0,0
 36-46,0,0,0.81,0.81,0,1.61,0,0,0,0.81,0,0,0,7.25,0,2.42,15.31,0,0.81,0,0,0.81,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,0,0,1.72,2.3,0,0,0.57,0.57,0.57,0,2.3,0,2.87,10.33,0,0,0.57,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,2.94,6.87,0,1.96,0,0,0,0,0,0,0,0,0.98,0,2.94
 72-82,0,0,0,0.98,0,0.98,0,0.98,0.98,0,0,0,0,0.98,0,0,12.76,0,1.96,0,0,0,0,0,0,0.98,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,2.12,0,1.06,8.5,0,0,0,0,0,0,0,0,2.12,0,0,0,4.25
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,0,0,1.09,1.09,1.09,3.28,3.28,0,2.19,0,0,0,0,0,0,2.19,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,2.3,0,0,0,0,1.53,0.77,3.06,3.83,0,3.06,0.77,0,0,0,0,0,0.77,0,0,0,4.6
120,0,0,0,0,0,0,3.92,1.96,0,0,3.92,0,0,0,0,7.84,5.88,0,7.84,0,0,0,0,0,0,0,0,0,1.96,1.96
