stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,neural,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,3.15,0,0,0,0
 14-21,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4,0,6,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,2.46,0,38.58,0,0.82,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,20.95,0,0,0.81,0,2.42
 48-58,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,1.72,0,17.79,0,0,0,0,2.3
 60-70,0,0.98,0,0,0,0.98,0,0,0,1.96,0,0,3.93,0.98,0,1.96,0,26.5,0,0,0,0,1.96
 72-82,0,2.94,0.98,0,0,0.98,0.98,0,0,1.96,0.98,0,3.93,0,0,1.96,0,30.43,0,0,0,0,1.96
 84-94,0,1.06,0,0,1.06,3.19,0,0,0,4.25,2.12,0,1.06,0,1.06,0,0,92.4,1.06,0,0,0,3.19
 96-106,0,8.74,0,0,1.09,1.09,0,0,0,3.28,0,1.09,1.09,2.19,0,4.37,0,103.82,4.37,0,0,1.09,3.28
108-118,0,14.55,0,0.77,0.77,1.53,0,0,0,2.3,3.83,0,0,0,0,1.53,0,71.23,0.77,0,0,0.77,1.53
120,0,1.96,0,0,1.96,5.88,0,0,1.96,1.96,1.96,0,0,0,0,1.96,0,62.71,1.96,0,0,0,3.92
