stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
 24-34,0,0,4.1,0,0,0,0,0,1.64,0,0,0,0,0,0.82,4.93,0,2.46,0,0,1.64,0,0
 36-46,0,0,2.42,0,0,0,0,0,0.81,0,0,4.03,0,0,0,5.64,0,0,0,0,1.61,0,0
 48-58,0,0,3.44,0,0.57,0,0,0,0.57,0,0,4.02,0,1.15,0,8.61,0.57,0,0,0,1.15,0,0
 60-70,0,0,1.96,0,2.94,0,0.98,0,0,0.98,0,4.91,0,0.98,0,3.93,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,9.82,0,0.98,0,0,0.98,0,9.82,0,10.8,1.96,7.85,0,3.93,0,0,0,0.98,0
 84-94,0,0,3.19,0,7.43,1.06,2.12,1.06,0,10.62,0,7.43,0,7.43,0,5.31,0,0,0,0,0,1.06,0
 96-106,0,0,10.93,1.09,6.56,0,3.28,1.09,2.19,7.65,1.09,14.21,0,4.37,0,13.11,0,1.09,1.09,0,0,0,1.09
108-118,0,0,29.87,0,1.53,4.6,2.3,3.06,0,9.96,0,12.26,0.77,8.43,0,7.66,0,0,0,0,0.77,0.77,3.06
120,0,0,7.84,0,5.88,0,1.96,3.92,0,7.84,0,7.84,0,3.92,0,15.68,0,0,0,0,0,0,0
