stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,6,41,30,44,0,0,0,3,3,1,1,2,1,0,1,0,0,41,0,27,353,3,2,2,11,0,6,0,58,3,39,142,0,0,4,0
 24-34,0,0,0,0.82,7.39,4.93,83.73,0,0,0.82,10.67,0.82,0,0.82,8.21,0,0.82,0.82,1.64,0,61.56,0,16.42,416.17,0,1.64,3.28,0,0,17.24,0,0,0,5.75,99.32,0,0,10.67,0
 36-46,0,0,0,0.81,8.86,4.03,200.61,0,0,1.61,16.92,0,0,0.81,10.47,0,1.61,0.81,0,0,68.48,2.42,15.31,348.85,0.81,0,0,0,0,4.03,0,0,0.81,0,87.82,0,0,9.67,0
 48-58,0,0,0,0,3.44,2.3,296.08,0.57,0,2.3,17.79,0.57,0,2.3,9.18,0,2.3,0,0,0.57,67.71,4.02,11.48,169.85,0,1.15,1.72,0,0,2.3,0,0,0,0,37.3,0,0,8.03,0
 60-70,0,0,0,0,8.83,1.96,296.42,0,0,4.91,17.67,0.98,0,0,3.93,0,0.98,0.98,1.96,0.98,69.69,6.87,6.87,103.06,0,0,1.96,0,0.98,2.94,0,0,0,0,9.82,0,0.98,7.85,0
 72-82,0,0,0,0,1.96,0.98,92.28,0,0,3.93,17.67,4.91,0,2.94,9.82,0,0,0,0.98,0,66.75,2.94,9.82,75.59,0,0,0,0,0,0,0,0,0,0,3.93,0,0.98,6.87,1.96
 84-94,0,0,0,0,9.56,3.19,71.16,1.06,0,1.06,10.62,3.19,0,4.25,5.31,1.06,1.06,0,0,0,43.54,13.81,7.43,47.79,1.06,2.12,2.12,0,0,2.12,0,0,0,0,3.19,1.06,1.06,7.43,0
 96-106,0,0,0,0,2.19,0,38.25,0,1.09,1.09,7.65,5.46,0,0,12.02,0,1.09,0,0,0,40.44,1.09,1.09,38.25,2.19,0,3.28,0,0,1.09,0,0,0,0,1.09,0,0,8.74,0
108-118,0,0,0,0,5.36,2.3,49.79,0,0,2.3,13.79,0.77,0,0.77,18.38,0,1.53,2.3,2.3,0,41.36,0,4.6,65.87,1.53,1.53,1.53,0,0,0,0,0,0,0,0.77,0.77,1.53,6.13,0
120,0,0,0,0,5.88,0,39.2,0,0,0,19.6,1.96,0,3.92,13.72,0,0,1.96,1.96,0,23.52,0,9.8,50.95,0,0,0,0,0,0,1.96,0,0,0,0,0,0,7.84,0
