stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,mesenchyme,neural,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0.82,0,0,0,0,0,0,0.82,3.28,0.82,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0.57,0,0,0.57,0,0,0,0,1.72,0,0,0,1.15,0,0
 60-70,0.98,0,0,0,0,0.98,0,0,0.98,0.98,0.98,0,0,0,0
 72-82,0,1.96,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0
 84-94,1.06,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,0,2.19,0,3.28,1.09,0,0,1.09
108-118,1.53,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
