stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,31.54,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,10,0,0,2,0,0,2,0,3,0,0,0,0,0
 24-34,0,0,9.03,0,0.82,0,0,0,0,0,0,0.82,0,0,0,10.67,0,0,4.1,8.21,0,0,0.82,0,0,0,0.82,1.64,0,0,0.82,0,0
 36-46,0,0,4.03,0,1.61,0,0,0,0.81,0,0,1.61,0,0,0,7.25,0.81,0,1.61,7.25,0,0.81,0.81,0,0,0,0,1.61,0,0,0,0,0.81
 48-58,0,0,8.03,0,1.72,0,0.57,0,0.57,0,0,0,0,0,0.57,70.58,0,0,0,18.94,0,0.57,0.57,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,8.83,0,2.94,0.98,0.98,0,2.94,0,0,0,0,0,0,252.25,0,0.98,1.96,39.26,0,0.98,0,0,0.98,0,1.96,2.94,0,0,0,0,0
 72-82,0,0,7.85,0,7.85,0,0,0.98,0.98,0.98,0,0,0,0,0,374.99,0,0,0,45.16,0,0.98,2.94,0,0,0,0,2.94,0,0.98,0,0.98,0
 84-94,0,0,4.25,0,13.81,0,0,0,3.19,8.5,0,0,0,0,0,291,0,2.12,0,26.55,0,1.06,3.19,0,1.06,0,3.19,1.06,1.06,1.06,1.06,0,0
 96-106,0,0,6.56,0,3.28,0,0,1.09,3.28,3.28,0,0,0,0,0,172.67,0,0,0,25.14,0,1.09,3.28,0,0,0,1.09,2.19,1.09,0,0,0,0
108-118,0,0,2.3,0,3.83,0,0.77,0.77,2.3,3.06,0,0,0,0.77,0,111.83,0,0,0.77,20.68,0,0,1.53,0,0,0,0.77,1.53,0,0,0.77,0,0
120,0,0,7.84,0,0,0,0,0,0,0,0,0,3.92,0,1.96,80.35,0,0,0,25.48,0,3.92,0,0,0,0,1.96,0,0,0,0,3.92,0
