stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,421.69,6931.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.3,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,1507.89,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,6.13,0,484.24,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,94.63,7.89,0,0,21.03,0,60.46,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,166.79,6.29,0,0,6.29,0,6.29,9.44,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,154,1,3,0,0,1,1,0,0,0,28,0,1,1,0,4,3,0,3,13,0,0,1,0,0,157,3,4,2,1,3,7,0,0,1,0,0
 24-34,0,0,0,0.82,114.1,0.82,0.82,9.85,2.46,0.82,4.1,0,0,0,42.68,0,9.85,0,0,14.78,11.49,0,0,35.3,0.82,6.57,2.46,0,0,145.29,0.82,0,5.75,0,0.82,7.39,0,0,0,0,0.82
 36-46,0,0,0,0,40.28,0,3.22,8.86,0.81,0.81,3.22,0,2.42,0,19.34,0,2.42,0,1.61,11.28,6.45,0,1.61,37.87,0,8.86,0.81,0,0,129.71,0.81,0,4.03,0.81,0,2.42,0,0,0.81,0,0
 48-58,0,0,0,0,40.74,0,5.16,17.21,1.72,1.72,2.87,2.3,1.15,0,4.02,0.57,3.44,1.15,2.87,16.64,10.33,0,2.3,25.25,0,4.59,1.15,0,0,65.99,0,0,0,0,0,2.3,0,0,1.72,0,1.72
 60-70,0,0,0.98,0,91.28,0,15.7,29.45,4.91,4.91,14.72,1.96,0.98,0,7.85,0,9.82,2.94,0.98,32.39,17.67,0.98,1.96,21.59,0,1.96,0.98,0,0,131.52,0,0,0,0,0,1.96,3.93,0,5.89,0,1.96
 72-82,0,0,2.94,0,85.4,0.98,18.65,14.72,3.93,11.78,25.52,1.96,1.96,0.98,7.85,0,18.65,1.96,0.98,27.49,17.67,0,1.96,23.56,0.98,4.91,1.96,0,0,90.31,0.98,0,0,0,0,0.98,8.83,0,4.91,0,2.94
 84-94,1.06,0,0,0,177.36,1.06,21.24,39.3,2.12,5.31,91.34,1.06,0,1.06,11.68,1.06,16.99,3.19,8.5,19.12,19.12,1.06,0,24.43,0,14.87,1.06,0,1.06,268.7,0,0,3.19,1.06,0,0,32.92,3.19,0,0,1.06
 96-106,0,0,0,0,124.58,1.09,21.86,36.06,3.28,7.65,88.52,0,1.09,3.28,16.39,2.19,30.6,0,4.37,31.69,29.51,1.09,4.37,32.79,1.09,14.21,2.19,0,0,219.66,0,0,3.28,0,0,2.19,60.11,0,6.56,0,7.65
108-118,0,0,0,0.77,175.41,0.77,24.51,79.66,3.06,11.49,134.81,0,0.77,3.83,20.68,2.3,19.92,8.43,11.49,27.57,20.68,1.53,3.06,29.11,3.06,9.19,2.3,0,0,271.92,0,0,3.06,0,0,0,78.13,2.3,6.89,0,5.36
120,0,0,0,0,239.09,0,11.76,80.35,1.96,0,103.87,0,0,1.96,19.6,1.96,23.52,5.88,7.84,21.56,19.6,3.92,3.92,33.32,1.96,11.76,1.96,0,0,229.29,0,0,5.88,0,0,1.96,17.64,1.96,1.96,1.96,3.92
