stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,4.1,0,1.64,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,4.83,0,0.81,0,0.81,0,0,0.81,0
 48-58,0,0,2.87,0,0,1.15,0,0.57,0,0.57,1.72,0,8.61,0,1.72,0,2.3,0,0,0,0
 60-70,0,0,1.96,0,0,0.98,0,0,0,0,4.91,0,6.87,0,5.89,0,0.98,0,0,0,0
 72-82,0,0,2.94,0,0,0,0,0,0,0,1.96,0.98,12.76,0,4.91,0,1.96,0,0,0,0
 84-94,1.06,0,0,0,0,0,0,0,0,1.06,1.06,0,1.06,0,15.93,0,0,0,1.06,0,0
 96-106,1.09,0,2.19,0,0,0,0,0,0,3.28,1.09,1.09,4.37,0,9.84,0,2.19,1.09,0,0,1.09
108-118,0,0.77,0,0,0.77,0.77,0.77,0,0,3.06,0,0,1.53,0,3.83,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,1.96,0,0,7.84,0,31.36,0,0,0,0,3.92,0
