stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,34,0,1,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,8.21,0,0,0,36.12,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,1.61,0,0,0,0.81,0,0.81,0,0,8.06,0,0,0,9.67,0.81,0,3.22,0,0,0,0
 48-58,0,0,0,0,7.46,0,0,0,0,1.15,0,0,0,0,0,1.15,0,0,4.02,0,0.57,0,6.89,0,0,0.57,0,0,0,0
 60-70,0.98,0.98,0,0,46.13,0,0,1.96,0,0.98,0,0,0,0,0.98,0,0,0,2.94,0,0.98,0,7.85,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,119.76,0.98,0,9.82,1.96,0,0,0,0.98,0,0,6.87,0.98,0.98,29.45,0,0.98,0,20.61,0,0,2.94,0,0.98,0.98,1.96
 84-94,1.06,0,3.19,1.06,184.79,1.06,1.06,6.37,2.12,0,1.06,0,1.06,0,1.06,8.5,0,0,23.36,0,4.25,0,58.41,1.06,0,0,0,0,3.19,2.12
 96-106,0,2.19,4.37,2.19,237.15,0,0,4.37,2.19,0,1.09,1.09,2.19,1.09,0,10.93,0,2.19,28.41,1.09,0,0,24.04,0,0,0,2.19,0,1.09,1.09
108-118,0,5.36,3.06,0.77,272.68,0,0.77,4.6,1.53,0,0,0,0.77,3.06,0.77,13.02,0.77,1.53,26.04,0,1.53,0,16.09,0,0,3.06,0,0,1.53,0.77
120,0,1.96,7.84,0,139.14,3.92,1.96,9.8,0,0,3.92,0,0,0,0,11.76,0,0,41.16,1.96,1.96,0,3.92,0,0,1.96,0,0,0,0
