stage,axial,blastomeres,endoderm,erythrocytes,melanocytes,muscle,neural,notochord,periderm,spinal.cord
  3-4,0,105.42,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,6.13,0,24.52,0
  7-9,0,0,2.63,0,0,0,10.51,0,2.63,0
 10-12,0,0,3.15,0,0,0,3.15,3.15,3.15,0
 14-21,0,0,0,1,0,0,0,0,2,0
 24-34,0,0,0,4.1,0,0.82,1.64,0,0.82,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,4.02,0
 60-70,0,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,1.96,0
