stage,eye,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,neural,otic,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,0,0.81,0,0,0,0
 48-58,1.15,0,0,0,1.15,0,2.3,0,0.57,0.57,0
 60-70,1.96,0,0.98,1.96,0.98,0,5.89,0,0,0,0
 72-82,0,0.98,0.98,0,0.98,0,12.76,0,0,0,0
 84-94,2.12,0,0,8.5,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,0,0,0,0
108-118,0,0,0,6.13,1.53,0,2.3,0,0,0.77,0.77
120,0,0,0,3.92,1.96,0,3.92,0,0,0,0
