stage,blastomeres,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,otic,periderm,spinal_cord,taste
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,2.46,0,0,1.64,0
 36-46,0,0.81,0,0,0,0.81,0,7.25,0,0,0,0
 48-58,0,1.15,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,1.96,1.96,0,0,0,0,0.98,0,0,0,0
 72-82,0,1.96,0.98,0.98,0.98,1.96,0,0.98,0,0,0,0
 84-94,0,1.06,5.31,0,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,5.46,0,0,5.46,1.09,1.09,0,0,0,1.09
108-118,0,0.77,1.53,0,0,0,0,0,0,0.77,0,0
