stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,29,1,0,0,0,0,0,0,8,0,0,0,0,4
 24-34,0,0,0.82,0,3.28,0,0,4.93,0,0,0,2.46,0,0,0,0,0,0,0,16.42,0.82,0,0,324.24,0,3.28,0.82,0,0,0,0.82,81.26,0,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,0,0,11.28,0,0,0,6.45,0,0.81,0,0,0,0.81,0,48.34,4.03,0,0,646.15,0.81,9.67,0,0,0,0,0,173.22,0,0,0.81,0,0
 48-58,0,0,0.57,0,2.3,0.57,0,53.36,0.57,0,0.57,9.18,0,0,0,0,0.57,0,0,47.05,10.33,0,6.31,784.97,0,10.33,0,0,0,1.72,0,180.17,0,0.57,0,0,1.15
 60-70,0,0,0,0,1.96,0,0,157.04,0,1.96,0,6.87,0,0,0.98,0,1.96,0,0.98,27.48,15.7,2.94,2.94,1169.97,0,5.89,0,0,0,0,0,158.03,0,0,0,0,1.96
 72-82,0,0,1.96,0,9.82,5.89,0,294.5,0.98,0,0.98,38.28,1.96,0,0,0,0.98,0,0,34.36,42.21,17.67,0.98,1354.69,0,9.82,0,0,0,3.93,0,121.73,0.98,1.96,1.96,0.98,2.94
 84-94,0,0,2.12,0,7.43,2.12,0,214.53,1.06,0,0,47.79,1.06,0,2.12,0,3.19,0,0,63.72,23.36,23.36,1.06,730.68,1.06,21.24,1.06,0,0,3.19,0,66.91,0,1.06,3.19,1.06,0
 96-106,0,0,3.28,0,14.21,8.74,0,175.95,1.09,2.19,0,36.06,3.28,0,1.09,1.09,0,0,0,41.53,25.14,29.51,2.19,644.78,0,20.76,0,0,0,9.84,0,24.04,0,2.19,1.09,3.28,1.09
108-118,0,0,2.3,0,8.43,0,1.53,129.45,0.77,1.53,1.53,32.94,1.53,0,3.06,0,1.53,0,0.77,45.96,15.32,23.74,1.53,861.71,0.77,15.32,0,0,0,2.3,0,21.45,0.77,1.53,0.77,1.53,0
120,0,0,1.96,0,1.96,5.88,1.96,84.27,0,0,0,23.52,0,0,7.84,0,1.96,0,1.96,11.76,17.64,39.2,5.88,785.87,0,9.8,0,0,3.92,3.92,0,11.76,0,0,1.96,0,1.96
