stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,11,1,3,0,0,0,1,1,0,0,0,1,0,0,8,0,0,6,49,1,1,0,2,0,0,18,0,1,7,17,0,2,0,0
 24-34,0,1.64,4.1,0.82,9.03,0,0,0,3.28,1.64,0,0,0,0,0,0.82,25.45,0,0,7.39,133.8,1.64,0.82,2.46,0,0,10.67,0,0,0.82,4.93,45.15,0,2.46,0,0
 36-46,0,0,3.22,0.81,35.45,0,0,0.81,4.03,0,0,0,0,0,0,0,24.98,0,0,8.06,94.26,0.81,0,0,0,0,3.22,0,0,0,0,23.36,0,1.61,0,0
 48-58,0,0,1.72,0,21.23,0,0.57,0,5.16,0,0,0,0,0,1.15,0,10.9,0.57,0.57,2.3,44.18,0,0.57,0,0,0.57,0.57,0,0,0,0,13.77,0,0,0,0
 60-70,0,0,1.96,0,54.97,0,0,0.98,4.91,0,0,0.98,0,0,0,0,21.59,0,0,2.94,52.02,0,0,0.98,0,0,1.96,0,0,0.98,0,16.69,0.98,0.98,0.98,0
 72-82,0,0,3.93,0,25.52,0,0,1.96,3.93,0,0,0,0,0,0.98,0,26.5,0,0.98,2.94,48.1,0,0,0,0,0.98,2.94,0,0,0,0,5.89,0,0,0.98,0.98
 84-94,0,0,7.43,0,27.61,0,0,1.06,2.12,0,0,1.06,0,0,1.06,0,10.62,0,0,1.06,16.99,0,0,3.19,0,0,1.06,0,0,0,0,3.19,1.06,1.06,1.06,0
 96-106,0,0,2.19,0,15.3,0,0,1.09,1.09,2.19,0,0,0,0,1.09,0,9.84,0,0,1.09,13.11,0,1.09,1.09,0,1.09,3.28,0,0,0,0,4.37,0,0,1.09,0
108-118,0,0,0.77,0,6.89,0,0,0,3.83,0.77,0,0.77,0.77,0.77,1.53,1.53,9.19,0,0,0.77,13.02,0,0,2.3,0,0,3.06,0,0,0,0,2.3,0,0,2.3,0
120,0,0,1.96,1.96,7.84,1.96,0,1.96,1.96,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,7.84,0,0,0,0,0,3.92,0,0,0,0,3.92,0,0,0,0
