stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,13.14,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12,6,1,0,0,0,4,0,2,0,0,0,0,0,6,0,1,102,1,1,0,0,0,0,0,117,0,0,1,0,0
 24-34,0,0,0,4.93,0.82,5.75,0,0,0,16.42,0,0,0,0,0,0.82,0,1.64,0,2.46,432.59,0.82,0,4.93,0,0.82,0,0,183.05,0,0,1.64,0,0
 36-46,0,0,0,0,0,5.64,0.81,0,0,13.7,0,0,0,0,0,0.81,0,1.61,0,0,1115.85,0,0.81,0.81,0,0.81,0,0,273.12,0,0,0,0,0
 48-58,0.57,0,0,9.18,0,36.15,0,0.57,0.57,28.69,0,1.15,0,0,0,0.57,1.15,15.49,1.72,2.3,1409.26,0,0.57,3.44,0,1.72,0,0,341.99,0,0,1.72,0,2.3
 60-70,0,0,0,5.89,0.98,53.98,0.98,0.98,0,24.54,0,0,0,0.98,0.98,4.91,0,11.78,0.98,1.96,1757.91,0,0,6.87,0,1.96,0.98,0,297.4,0,0,0.98,0,0
 72-82,0,0,0.98,10.8,1.96,90.31,0.98,0,0,45.16,0.98,0.98,0.98,0.98,0.98,4.91,0,22.58,0.98,1.96,1382.18,0,0.98,6.87,0,5.89,0,0.98,160.01,0,0,1.96,0.98,2.94
 84-94,0,0,2.12,18.05,1.06,94.52,0,0,3.19,48.85,1.06,0,1.06,0,1.06,9.56,0,14.87,3.19,3.19,671.21,0,0,12.74,0,1.06,0,2.12,64.78,1.06,1.06,0,0,0
 96-106,0,0,1.09,9.84,1.09,40.44,0,0,0,29.51,0,0,0,0,0,7.65,2.19,8.74,0,1.09,473.2,0,0,31.69,0,1.09,0,0,25.14,1.09,0,1.09,1.09,1.09
108-118,0,0,0,6.13,0.77,28.34,0,0.77,0,22.21,2.3,0.77,0.77,0,0,9.19,0,8.43,0,0.77,523.15,0,1.53,17.62,0,0,0,0,21.45,0.77,0.77,0,0,0
120,0,0,0,19.6,3.92,54.87,0,0,0,13.72,0,0,1.96,0,0,5.88,0,7.84,0,3.92,556.58,0,0,19.6,0,0,0,0,29.4,0,0,0,0,0
