stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,neural,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0.81,0,1.61,0,0.81,0,0,0
 48-58,0,0,0,0,43.04,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0
 60-70,0,0,0,0,160.97,0,0,0,0,0.98,0,0,2.94,1.96,0,0,0,0
 72-82,0,0,0.98,0,214.98,0,0.98,0,0,1.96,0,0,6.87,5.89,0,0,0.98,0
 84-94,0,1.06,0,0,231.52,1.06,1.06,0,0,0,0,0,1.06,9.56,0,0,0,1.06
 96-106,0,0,1.09,0,118.03,0,0,0,0,5.46,0,1.09,3.28,8.74,2.19,0,0,0
108-118,0,0,0,0.77,90.38,0,0.77,0,0,3.83,0,1.53,3.83,10.72,0.77,0.77,0,0
120,0,0,0,0,64.67,0,0,0,0,1.96,0,0,0,1.96,1.96,0,0,0
