stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,1106.95,15378.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.69,0,0,0,0,0,0,0
  5-6,2028.91,21030.78,36.78,0,0,0,0,0,42.91,0,0,0,0,0,0,0,827.5,49.04,0,269.7,239.06,0,0,0,0,0,0,0
  7-9,278.64,339.1,502.08,0,2.63,268.13,0,0,155.09,0,0,0,0,0,0,0,9529.09,228.7,0,5026.1,18.4,15.77,0,0,0,0,0,0
 10-12,0,50.35,47.2,0,9.44,37.76,0,0,3.15,0,0,0,0,0,0,0,1287.11,9.44,0,519.25,0,3.15,0,22.03,0,0,0,0
 14-21,0,0,0,13,4,4,0,3,0,0,0,0,0,12,0,6,38,2,0,14,1,0,131,1,31,22,0,3
 24-34,0,0,0,4.1,0,4.1,0,0.82,0,0,0.82,0,0.82,9.03,0,4.1,20.52,0,0.82,0,0,0,0,0,8.21,7.39,0,0.82
 36-46,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0.81,0,3.22,0.81,4.03,15.31,0,0,0,0,0,0,0,0,3.22,0.81,1.61
 48-58,0,0,0,0.57,0,0.57,1.72,0.57,0,0,0,0,0.57,2.87,1.72,0.57,13.2,0,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,18.65,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,1.96,1.96,1.96,0,0,0,0,0.98,10.8,1.96,0.98,10.8,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,4.25,0,2.12,4.25,0,0,0,1.06,0,0,0,0,2.12,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,1.09,4.37,0,0,0,0,0,0,0,0,2.19,0,0
108-118,0,0,0,0,0,0.77,1.53,1.53,0,0,0.77,0,0,2.3,0,1.53,3.06,0,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,3.92,0,3.92,0,3.92,0,0,0,0,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0
