stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,7,83,344,0,16,0,0,0,1,2,0,0,2,1,0,0,4,32,0,0,17,231,4,0,2,5,0,2,1,4,6,2,18,71,0,0,3,0,4
 24-34,0,0,0.82,8.21,299.61,0,12.31,0,0.82,0,0.82,0,0.82,0,1.64,0,0,1.64,0,26.27,0.82,0,9.03,137.08,1.64,0.82,0,0,0,17.24,0,0,3.28,0,6.57,39.4,0,0,3.28,0,3.28
 36-46,0,0.81,0,5.64,115.21,0,16.92,0,0.81,0,9.67,1.61,0.81,0,0,0.81,0,4.03,0,16.92,0.81,1.61,4.03,72.51,1.61,2.42,0,0,0,22.56,0.81,0,0.81,0,0.81,29,0,0,1.61,0,0.81
 48-58,0,0.57,0,2.87,269.11,0,28.69,0,1.72,1.72,10.33,1.72,0,0.57,0.57,0,0,1.72,0,18.36,0,1.72,2.3,51.64,0,2.3,0,0,0,5.74,0,0,2.3,0,0,19.51,0,0,0.57,0.57,0
 60-70,0,2.94,0,1.96,306.23,0,27.48,0.98,1.96,3.93,14.72,5.89,0.98,0,0,0.98,0,0,0,35.33,0,3.93,3.93,43.19,0,1.96,0,0,0.98,5.89,0,0,2.94,0,0,8.83,0,0,0,0.98,0
 72-82,0,18.65,0,10.8,525.19,0,44.17,0.98,1.96,1.96,17.67,19.63,4.91,0.98,0,1.96,0,0.98,0,53.01,0,2.94,2.94,61.84,0.98,2.94,0.98,0,0.98,3.93,0,0,0.98,0,0,4.91,0,3.93,6.87,5.89,0
 84-94,0,15.93,1.06,13.81,498.1,1.06,27.61,7.43,3.19,0,5.31,23.36,0,4.25,1.06,3.19,1.06,3.19,1.06,31.86,0,7.43,3.19,31.86,0,2.12,1.06,0,3.19,3.19,0,0,7.43,0,0,3.19,0,4.25,6.37,4.25,1.06
 96-106,0,29.51,0,19.67,559.54,0,31.69,7.65,0,0,18.58,45.9,7.65,5.46,0,0,0,4.37,0,42.62,0,5.46,5.46,40.44,0,1.09,1.09,0,15.3,9.84,0,0,7.65,0,0,1.09,1.09,4.37,8.74,5.46,1.09
108-118,0.77,16.09,0.77,16.85,442.73,1.53,21.45,2.3,6.13,1.53,13.02,45.96,0.77,4.6,0,0.77,0,5.36,0,32.17,0,7.66,3.83,38.3,0.77,1.53,0.77,0,15.32,3.83,0,0,9.96,0,0,3.83,0,3.06,6.89,8.43,0
120,0,23.52,0,15.68,582.06,0,31.36,3.92,1.96,0,5.88,43.12,0,7.84,0,0,0,0,0,23.52,0,5.88,3.92,50.95,0,1.96,7.84,0,7.84,9.8,0,0,3.92,0,0,0,0,11.76,1.96,13.72,0
