stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,3.28,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,1.64,8.21,0,0,3.28,0.82,0.82,0,3.28,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,2.42,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,4.59,0.57,0,0,0,0,0.57,0,0,0,0,0.57,0,2.3,0,0,2.3,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0.98,0,0,0,8.83,0,0,2.94,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,4.91,0,0,2.94,0.98,0,0,0,0,0.98,0,0,0,6.87,1.96,0,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,2.12,0,2.12,0,0,1.06,1.06,0,0,0,0,1.06,1.06,0,2.12,4.25,0,0,3.19,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,0,2.19,0,1.09,1.09,0,0,0,1.09,2.19,0,0,0,0,2.19,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,2.3,0,2.3,0,0.77,0,0,0,0,0,0,0,0,0,0,1.53,0,0,1.53,0,0,0,0,0,0
120,0,0,0,1.96,0,3.92,0,0,1.96,1.96,0,0,0,0,0,0,0,0,7.84,0,0,1.96,0,0,0,1.96,0,0
