stage,axial,blastomeres,endoderm,epidermis,eye,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,5.26,0,0,0
 10-12,0,0,3.15,0,3.15,0,6.29,0,0,0,0,9.44,6.29,0,12.59,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,1,0,1,3,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,1.15,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,1.96,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
