stage,axial,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,19,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,28.73,0,0,0,0,0,0,0,68.13,0,0,0,0,0,0,114.1,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,0,110.38,0,0,0,0,0,1.61,0,80.57,0,2.42,0,0,0.81,0,211.89,0,0,0,0,0
 48-58,0,0.57,0.57,0,8.61,0,0,0.57,269.69,0,0,0,0,0,1.72,0,65.99,0,0.57,0,0,0,0,256.49,0,0,0,0,0.57
 60-70,0,0,2.94,0,34.35,0,0,0,497.63,0,0.98,0.98,0.98,0,2.94,0,45.15,0,0,0,0,0.98,0,125.63,0,0,0,0,0.98
 72-82,0,0.98,3.93,0.98,81.48,0,0,0.98,773.55,0,0,0,0,0,3.93,0,47.12,0,0,0,0.98,0,0.98,28.47,0.98,0,0,0,0
 84-94,0,1.06,5.31,0,86.03,0,1.06,0,550.14,1.06,0,1.06,0,0,3.19,0,46.73,0,0,0,1.06,2.12,0,32.92,2.12,1.06,0,1.06,2.12
 96-106,0,0,9.84,0,74.31,1.09,0,1.09,546.42,0,1.09,0,0,1.09,6.56,1.09,48.09,0,0,2.19,1.09,0,0,13.11,0,0,2.19,0,0
108-118,0,0.77,2.3,0,49.02,0,0,0,513.96,0,0.77,0,0,0,3.83,0,32.94,0,0,0,0,0,0,7.66,0,0,0,0,0
120,0,0,1.96,0,54.87,0,0,0,538.94,1.96,1.96,1.96,0,0,3.92,0,48.99,1.96,1.96,0,0,1.96,0,15.68,0,0,0,1.96,0
