stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,0,0,0,0
 24-34,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.23,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,18.36,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,235.57,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0.98,10.8,0,0,0,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,6.87,0.98,0,606.67,0,2.94,14.72,0.98,0,0.98,0.98,0,0,0,9.82,0,0.98,0,38.28,0,0,1.96,0,0,0,0,0,1.96,0,0,2.94,0.98
 84-94,0,0,8.5,0,0,419.5,2.12,0,22.3,0,0,0,0,0,0,0,9.56,0,0,1.06,35.05,0,0,0,0,0,0,0,0,3.19,1.06,1.06,1.06,1.06
 96-106,0,0,7.65,3.28,1.09,552.98,2.19,0,19.67,0,2.19,2.19,0,0,1.09,0,7.65,1.09,1.09,0,34.97,1.09,0,0,0,1.09,2.19,0,0,1.09,0,0,2.19,1.09
108-118,0,0,3.83,0,0,294.13,0,0.77,5.36,1.53,0,1.53,0,0.77,0,0.77,6.13,0,0,1.53,23.74,0,0.77,0.77,0,0,0.77,0,0.77,0,0,1.53,0,0
120,0,0,1.96,0,0,176.38,1.96,0,11.76,0,0,0,0,0,1.96,0,0,0,0,1.96,23.52,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96
