stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,12.59,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,9,0,0,0,1,0,0,0,0,0,0,0,2,0,0,11,27,0,1,0,0,0,0,1,2,0,0,7,9,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,22.16,0,0.82,0.82,0,0,0,0,0,0,0,1.64,22.98,0,0,42.68,49.25,0,3.28,1.64,0,0,0.82,0,0,0.82,0,0.82,14.78,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,37.87,0,1.61,0,3.22,0,0,0,0,0,0,1.61,77.34,0,0,29,51.56,0,1.61,2.42,0,0,0.81,0,0,0.81,0,0,16.92,0,0,2.42,0,0
 48-58,0,0,0,2.3,0,0,132.55,0.57,1.72,0.57,6.31,0,0.57,0,0,0,0,10.33,80.91,0,0.57,21.8,50.49,0.57,0.57,3.44,0,0,0,0,0.57,0.57,0.57,0,14.35,0,0,0.57,0,0
 60-70,0.98,0,0,4.91,0,0,249.31,0,5.89,0.98,26.5,0.98,0,0,0,0.98,0,6.87,65.76,0,0,12.76,70.67,0,2.94,2.94,0,0,0.98,0,0,0,0.98,0,6.87,0,0.98,0,0.98,1.96
 72-82,0,0,0.98,9.82,1.96,0,210.08,0.98,1.96,0,41.23,0,0,0,1.96,0,0,9.82,80.5,0.98,0.98,17.67,88.35,0,1.96,9.82,0,0,0,0,0,0,0.98,0,8.83,0.98,1.96,0.98,1.96,0.98
 84-94,0,0,0,4.25,0,0,159.31,3.19,2.12,1.06,25.49,2.12,2.12,0,2.12,0,0,13.81,60.54,0,2.12,10.62,47.79,0,5.31,11.68,0,3.19,0,0,0,0,0,0,4.25,0,0,1.06,1.06,0
 96-106,0,0,1.09,3.28,0,1.09,91.8,3.28,2.19,1.09,18.58,1.09,0,2.19,0,0,0,12.02,37.16,0,2.19,7.65,40.44,1.09,5.46,12.02,0,0,1.09,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,1.53,6.13,0,0,62.04,2.3,4.6,0.77,16.09,6.13,0,0.77,0.77,0,1.53,16.09,33.7,0,2.3,8.43,29.87,0,0,8.43,0,0,0.77,0,0,0,0.77,0,0.77,0,0.77,3.06,0,0
120,0,0,0,13.72,0,0,76.43,1.96,0,0,13.72,1.96,0,0,0,0,0,9.8,21.56,0,1.96,11.76,64.67,1.96,11.76,7.84,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
