stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,25,0,0,0,0,0,1,0,0,0,3,7,0,0,0
 24-34,0,0.82,0,0.82,0.82,0,7.39,0,0,0,0.82,0,0,0.82,0,0,0,0,1.64,0.82,0,30.37,0,0,0,0,0,3.28,0,0,0.82,0,15.6,0,1.64,0
 36-46,0,0,0,0,0,0,4.83,0,0.81,0,0.81,0,0,0,0,0,0,0,2.42,0,1.61,35.45,0,1.61,0,0,0,3.22,0,1.61,0.81,0.81,8.86,0.81,4.83,0
 48-58,0,0,0.57,0,0,0,5.74,0,0,0.57,0.57,0,0,0.57,0,0,0,0,1.15,0,0,33.28,0,0.57,0,0,0,0,0,0,0,0,6.31,0,0.57,0
 60-70,0,0,0,1.96,0,0,16.69,0,0,0.98,2.94,0,0,1.96,0,0,0,0,2.94,0.98,0,37.3,0,0,0,0,0,0,0,0.98,0,0,6.87,0,1.96,0
 72-82,0,4.91,0,0.98,0,0,29.45,0,0,0,7.85,0.98,0,0,0,0,0,0.98,8.83,0,0,37.3,0.98,0,3.93,0,0,0,0,1.96,0,0,0.98,0,2.94,0.98
 84-94,0,0,0,4.25,0,0,15.93,0,2.12,0,6.37,0,0,0,2.12,0,0,0,6.37,1.06,1.06,27.61,0,0,2.12,0,0,0,0,4.25,0,0,2.12,1.06,2.12,0
 96-106,0,3.28,0,2.19,0,0,15.3,0,0,1.09,8.74,1.09,0,2.19,1.09,0,1.09,0,7.65,0,1.09,33.88,0,0,1.09,0,0,4.37,0,2.19,0,0,1.09,0,8.74,1.09
108-118,0,3.06,0,3.83,0.77,1.53,22.21,0.77,0.77,0,1.53,0,0,0.77,0,0,0,0.77,8.43,0,1.53,28.34,0,0.77,0.77,0,0.77,2.3,0,3.06,1.53,0,0,0,3.06,0.77
120,0,3.92,0,13.72,0,0,15.68,0,3.92,0,1.96,3.92,0,1.96,0,1.96,0,0,3.92,0,3.92,35.28,0,1.96,1.96,0,0,1.96,0,5.88,0,0,0,0,15.68,0
