stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,5.26,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.52,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,151.05,6.29,0,0,66.09,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,6,4,0,3,0,0,0,1,2,0,1,0,1,0,0,1,0,6,0,0,3,113,0,0,0,3,0,0,1,12,2,0,11,27,0,2,0,0
 24-34,0,0,0,4.93,0.82,0,19.7,0,0,0.82,4.93,0,0,1.64,0,1.64,0,0,0,0.82,7.39,0,0,8.21,142.83,0.82,0.82,4.1,0,0,1.64,0,0,0,0,3.28,33.66,0,5.75,0,2.46
 36-46,0,0,0,0.81,0,0,21.75,0,0,0,4.83,0,0,0.81,0,0,0.81,0,0,0.81,4.83,0,0,4.83,66.06,0,0.81,0,0,0,3.22,0,0,0,0,0,8.86,0,1.61,0,1.61
 48-58,0,0,0,0.57,0,0,45.9,0,0,1.15,7.46,0,0,0,1.72,0,0,0.57,0,0.57,17.21,0,0.57,2.3,39.59,0.57,1.15,0.57,0,0,0,0,0,0,0,0,12.05,0,2.3,0,2.3
 60-70,0,0,0,0,0.98,0,34.35,0,0,0,15.7,0,0,0,0.98,1.96,0,0,0,0.98,13.74,0,0.98,3.93,58.89,0,0.98,0,0,0,3.93,0,0,0,0,0,3.93,0,0,0,2.94
 72-82,0,0,0,2.94,0.98,0,28.47,0.98,0,0,10.8,0,0,0.98,0,0.98,0.98,1.96,0,0,22.58,0,0,1.96,31.41,0.98,1.96,0.98,0,0,1.96,0,0,0,0,0,4.91,1.96,1.96,0,0
 84-94,0,0,0,4.25,2.12,1.06,29.74,0,0,0,8.5,3.19,0,0,2.12,1.06,3.19,0,0,1.06,11.68,2.12,0,4.25,15.93,0,0,0,0,0,7.43,0,0,1.06,0,0,5.31,0,5.31,0,1.06
 96-106,0,0,0,2.19,2.19,0,19.67,1.09,1.09,2.19,13.11,3.28,0,1.09,4.37,2.19,0,1.09,0,0,15.3,0,1.09,2.19,25.14,0,0,0,0,1.09,15.3,0,0,0,0,0,0,1.09,4.37,1.09,1.09
108-118,0,0,0,5.36,3.06,0.77,14.55,0,1.53,0,8.43,0.77,0,0,4.6,0.77,2.3,1.53,0,1.53,9.19,0,0,4.6,20.68,3.06,0.77,2.3,0,0,3.06,0,0,0,0.77,0,1.53,0,0,0.77,2.3
120,0,0,1.96,5.88,9.8,0,13.72,0,1.96,0,1.96,5.88,0,0,5.88,0,0,0,0,0,17.64,1.96,0,1.96,17.64,0,1.96,0,0,0,11.76,0,0,0,0,0,0,0,3.92,0,0
