stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,62,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,6,0,0,0,0,0,4,1,3,12,0,0,0,0
 24-34,0,1.64,0,0,77.98,0,2.46,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,1.64,0,0.82,18.06,0,0,0,0,0,0,0,0.82,11.49,0,0,0,0
 36-46,0,0,0,0,37.06,0,4.03,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,21.75,0,0,0,0,0.81,0,0,0,4.83,0,1.61,0,0
 48-58,0,0,0,0,24.1,0,6.31,0.57,0,0,1.15,0,0,0,0,0,0,0,2.87,0,0,0,6.89,0,0,0,0,0,0,0,0,6.31,0,1.15,0,0
 60-70,0,0,0,0,33.37,0,9.82,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,8.83,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0.98,0,0.98,248.36,0,6.87,0.98,0,0.98,4.91,3.93,0,0,0.98,0,0,0.98,1.96,1.96,0,0,13.74,0,0,0,0,1.96,0,0,0,3.93,0,1.96,0,0
 84-94,0,0,0,0,200.73,0,16.99,0,0,0,0,1.06,0,0,2.12,0,0,0,1.06,2.12,0,1.06,12.74,0,1.06,1.06,0,1.06,0,1.06,0,5.31,0,3.19,0,1.06
 96-106,0,0,0,1.09,265.56,0,13.11,0,2.19,0,0,1.09,0,0,2.19,0,1.09,0,5.46,1.09,2.19,2.19,10.93,1.09,1.09,0,0,2.19,0,0,0,1.09,0,2.19,0,1.09
108-118,0,1.53,0,0.77,193.79,0,13.02,0,0.77,0,2.3,3.83,0,0,1.53,0.77,0,0.77,4.6,2.3,0.77,0,17.62,0,0,0,0,1.53,0,0,0,0,0.77,2.3,1.53,0
120,0,1.96,0,1.96,282.21,1.96,7.84,0,0,0,0,0,0,0,3.92,0,0,0,3.92,1.96,0,0,15.68,0,0,0,0,0,0,0,0,0,0,3.92,1.96,0
