stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,spinal_cord
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,7.89,2.63,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,3.15,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,2.46
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0,0,4.59,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,4.91,0,0.98,0.98,0,0,0,0.98,5.89,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,1.06,1.06,1.06,2.12,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0,0,1.53,0,0,3.06,0,0.77,0,0
