stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,5.26,0,0
 10-12,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,4.1,0,0,0,0,0,0,1.64,0
 36-46,0,0,0.81,0,0.81,0,1.61,0,0,8.86,0,0,0,0.81,1.61,0,2.42,0,0,0,0,0,0,2.42,0
 48-58,0,0,2.3,0,11.48,0,0,0,0,9.18,0,0,0,0.57,8.61,0,5.16,0,0,0,0,0,0,0,0
 60-70,0,0,8.83,0,6.87,0,0,0,0,21.59,0,0,0,0.98,5.89,0,1.96,0,0.98,0,0,0,0,0,0
 72-82,0,0,4.91,0,10.8,0,0,0,0,56.94,0,0,0,0.98,4.91,0,3.93,0,1.96,0,0,0,0,0,0
 84-94,0,0,22.3,1.06,3.19,0,1.06,1.06,0,99.83,0,0,2.12,3.19,6.37,1.06,3.19,0,0,0,0,1.06,0,0,0
 96-106,0,0,59.01,2.19,4.37,1.09,3.28,2.19,0,175.95,0,0,0,5.46,9.84,0,9.84,0,1.09,2.19,0,2.19,0,0,0
108-118,0,0,60.51,0.77,1.53,0,0,0,0,175.41,0.77,0,0,2.3,13.79,0.77,9.19,0,2.3,0,0,1.53,0,0,0.77
120,0,0,48.99,0,1.96,0,0,0,0,90.15,0,1.96,0,0,5.88,0,3.92,1.96,1.96,0,0,0,0,0,0
