stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,112,12,0,1,0,2,0,0,6,4,1,11,0,0,0,2,0,13,0,0,7,6,10,1,3,3,0,35,31,1,13,70,6,0,0,6,0,0
 24-34,0,0,0,7.39,1.64,0,2.46,0,0.82,0,0,0.82,0,0.82,22.98,0,0,0,3.28,6.57,0.82,0.82,0,1.64,7.39,0,0.82,0,0,0,18.88,0,0,0,0.82,0,0,0,8.21,0,3.28
 36-46,0,0,0,1.61,0,0,1.61,0,0,0.81,0,0,0,4.83,51.56,0,0.81,1.61,0.81,17.72,3.22,0,0,0.81,14.5,0,3.22,0,0,0,25.78,0,0.81,0,0,1.61,0,0,6.45,0,8.06
 48-58,0,0,0,2.3,2.3,0,1.72,0,1.15,0,0,0.57,0,1.72,37.87,0,3.44,0,0,10.9,3.44,0.57,0,1.15,6.89,0,1.72,0,0,0,32.13,0,0.57,0,0,2.3,0,0,6.31,0,14.35
 60-70,0,0,0,6.87,2.94,0,6.87,0,3.93,1.96,0.98,0,0.98,3.93,69.69,0.98,4.91,0,0,3.93,11.78,2.94,0.98,0,14.72,0,1.96,0,0,0,47.11,0,0,0,0,0.98,1.96,1.96,8.83,0,9.82
 72-82,0,1.96,0,6.87,4.91,0,3.93,0,0.98,0.98,0,5.89,0,3.93,46.14,0.98,4.91,6.87,0.98,3.93,13.74,0.98,2.94,0.98,9.82,0,0.98,2.94,0,0,16.69,0,1.96,0,0,0,0.98,0,11.78,0,10.8
 84-94,0,7.43,0,13.81,5.31,0,1.06,0,3.19,0,0,11.68,0,2.12,75.4,0,12.74,6.37,1.06,12.74,8.5,1.06,1.06,0,4.25,0,4.25,1.06,0,0,66.91,0,0,0,0,0,1.06,1.06,18.05,0,4.25
 96-106,0,5.46,0,31.69,8.74,1.09,8.74,0,7.65,0,2.19,13.11,0,16.39,127.86,7.65,13.11,6.56,1.09,2.19,33.88,4.37,4.37,0,20.76,1.09,5.46,1.09,0,3.28,120.21,0,3.28,0,0,0,3.28,3.28,27.32,7.65,9.84
108-118,0,2.3,0,26.81,7.66,2.3,3.06,0.77,10.72,0,2.3,14.55,0,2.3,110.3,2.3,22.21,4.6,1.53,1.53,16.09,0,1.53,0,15.32,0,5.36,0,0,1.53,71.23,0,3.06,0,0,0,0,1.53,19.92,0.77,17.62
120,0,0,0,15.68,3.92,0,1.96,0,11.76,0,0,15.68,0,1.96,92.11,0,9.8,5.88,0,0,11.76,1.96,0,0,1.96,0,7.84,0,0,0,70.55,0,0,0,0,0,1.96,0,13.72,0,0
