stage,blastomeres,endocrine.pancreas,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,11.49,0,0,2.46,0,0,0,0,0.82
 36-46,0,0,0,1.61,0,0,0,0,0,41.89,0,0,3.22,0,0,2.42,0,0
 48-58,0,0,0,1.72,0,0,1.15,0,0,44.18,1.72,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,22.58,0,0,0.98,0,0,0,0,0
 72-82,0,0,1.96,2.94,0,0,0.98,0,0,25.52,0.98,0.98,4.91,0,0,0,0.98,0
 84-94,0,1.06,0,1.06,3.19,0,5.31,1.06,0,38.23,0,0,1.06,0,0,0,1.06,0
 96-106,0,2.19,1.09,1.09,0,0,1.09,0,0,27.32,1.09,0,2.19,3.28,1.09,0,0,0
108-118,0,2.3,0.77,0,0,0.77,0.77,0.77,0.77,35.23,1.53,0.77,0,0.77,0,0,0,0
120,0,1.96,0,0,0,0,3.92,0,0,19.6,3.92,0,0,0,0,0,0,0
