stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,7.89,0,0,13.14,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,4,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0
 24-34,0,0,1.64,0,3.28,0.82,0.82,0,0.82,0,0.82,0,0.82,19.7,0,0,0,0,1.64,0.82,4.1,0.82,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0,0,6.45,0,0.81,0,0,0,0,2.42,0,0
 48-58,0,0,0,0.57,8.03,2.3,0,0,0,0,0.57,0,0.57,11.48,0,0,0,0,0.57,0,2.87,0,0
 60-70,0,0,0.98,0,25.52,5.89,0,0,0,0.98,4.91,0,0,20.61,0.98,0.98,0,0,0,0,2.94,0,0
 72-82,0,0,1.96,0,13.74,0.98,0,0,0,0,4.91,0,0,14.72,0.98,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,4.25,0,0,0,0,0,1.06,0,0,6.37,0,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,1.09,13.11,3.28,1.09,0,0,0,3.28,0,0,6.56,4.37,1.09,0,0,1.09,0,1.09,0,0
108-118,0,0,0,0,3.06,3.06,0.77,0,0,0,0.77,0,0,7.66,0,0.77,0,0,0,0,0.77,0.77,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,0
