stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,382.16,6127.74,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0
  5-6,496.5,5007.91,6.13,0,0,0,0,12.26,0,0,183.89,12.26,0,49.04,98.07,0,0,0,0,0,0
  7-9,60.46,57.83,97.26,0,0,202.41,0,52.57,0,0,1640.32,63.09,0,670.32,2.63,13.14,0,2.63,0,0,0
 10-12,3.15,22.03,47.2,0,0,69.23,0,9.44,0,0,594.78,18.88,0,213.99,0,22.03,0,34.62,0,0,0
 14-21,0,0,2,16,3,3,2,0,10,9,61,5,0,1,4,1,10,1,1,12,14
 24-34,0,0,0,0.82,0,0,0,0,0.82,0.82,6.57,0,0,0,1.64,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
