stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50,1,0,0,0,0,3,35,0,0,2,0,0
 24-34,0,0.82,0.82,5.75,0,0.82,3.28,0,0,0,0,0,0.82,4.93,0,5.75,204.39,0.82,0.82,0,0,0,0,63.21,0,0,5.75,0,0
 36-46,0,0,0,28.2,0,0,1.61,0,0,1.61,0,0,0,4.03,0,1.61,369.8,2.42,0.81,0,0,0,0,77.34,0,0,0,0,0
 48-58,0,1.15,0.57,87.22,0,0.57,8.03,0,0.57,0,0,0,0,14.35,0,3.44,440.68,0.57,0.57,1.15,0,0.57,0,68.86,0,0,0.57,0,0
 60-70,0,0,0,283.66,0,0,17.67,0,0,0,0,0,0,13.74,0,0,522.17,0,0,0,0,0,0,52.02,0,0.98,0,0,0.98
 72-82,0.98,2.94,0,249.34,0,0.98,9.82,0,0.98,0,0,0,0,29.45,0,0,443.71,0,2.94,0,0.98,0,0,30.43,0.98,0,0,0.98,0.98
 84-94,0,2.12,0,160.37,0,2.12,8.5,0,0,2.12,1.06,0,0,24.43,0,1.06,230.46,0,0,0,1.06,0,0,22.3,1.06,2.12,0,0,0
 96-106,1.09,1.09,0,108.19,0,0,10.93,0,1.09,3.28,0,2.19,0,9.84,1.09,2.19,178.13,1.09,0,1.09,0,0,0,4.37,1.09,0,0,0,2.19
108-118,0.77,4.6,0,76.6,0,0,4.6,1.53,0,0,0,0,0,5.36,0.77,0,186.13,0,0,0.77,0,0.77,0,3.06,0,1.53,2.3,0,1.53
120,0,0,0,66.63,1.96,0,13.72,0,0,0,0,0,0,3.92,0,1.96,154.82,0,0,0,0,0,0,1.96,0,0,0,1.96,0
